,State,Year,Quarter,District,Count,Amount
77,Andhra Pradesh,2018,1,spsr nellore district,531612,676643237.8069417
78,Andhra Pradesh,2018,1,vizianagaram district,420990,505783445.78162
79,Andhra Pradesh,2018,1,visakhapatnam district,1256469,1749966196.5049946
80,Andhra Pradesh,2018,1,prakasam district,534757,748990775.8676485
81,Andhra Pradesh,2018,1,anantapur district,638664,788830646.0324218
82,Andhra Pradesh,2018,1,ysr district,487333,681481931.0936775
83,Andhra Pradesh,2018,1,west godavari district,577090,853547668.7532666
84,Andhra Pradesh,2018,1,kurnool district,679623,764905298.7350456
85,Andhra Pradesh,2018,1,chittoor district,830324,1009621878.0870512
86,Andhra Pradesh,2018,1,guntur district,815932,1108686589.0266829
87,Andhra Pradesh,2018,1,krishna district,863935,1284255179.6156201
88,Andhra Pradesh,2018,2,east godavari district,1221677,2168914928.4239016
89,Andhra Pradesh,2018,2,srikakulam district,559868,929392017.3670053
90,Andhra Pradesh,2018,2,spsr nellore district,780454,1542057934.0108962
91,Andhra Pradesh,2018,2,vizianagaram district,529588,811711367.5080048
92,Andhra Pradesh,2018,2,visakhapatnam district,1641192,2987853607.2939095
93,Andhra Pradesh,2018,2,prakasam district,739991,1571167562.1276276
94,Andhra Pradesh,2018,2,anantapur district,937023,1690366079.0557928
95,Andhra Pradesh,2018,2,ysr district,690842,1415500367.6861844
96,Andhra Pradesh,2018,2,west godavari district,786033,1688025212.3045945
97,Andhra Pradesh,2018,2,kurnool district,968439,1531888665.6843233
98,Andhra Pradesh,2018,2,chittoor district,1185723,1990419125.8937118
99,Andhra Pradesh,2018,2,guntur district,1088101,2108475811.7859967
100,Andhra Pradesh,2018,2,krishna district,1224987,2448141593.4919834
101,Andhra Pradesh,2018,3,east godavari district,3226907,3551247095.307447
102,Andhra Pradesh,2018,3,srikakulam district,1073883,1318322236.598471
103,Andhra Pradesh,2018,3,spsr nellore district,1308890,2215938596.185108
104,Andhra Pradesh,2018,3,vizianagaram district,970132,1163546006.895916
105,Andhra Pradesh,2018,3,visakhapatnam district,3394576,4821892253.393524
106,Andhra Pradesh,2018,3,prakasam district,1319651,2346453445.483843
107,Andhra Pradesh,2018,3,anantapur district,1815215,2681787750.464165
108,Andhra Pradesh,2018,3,ysr district,1557444,2235904512.2542048
109,Andhra Pradesh,2018,3,west godavari district,1431282,2309078492.8058147
110,Andhra Pradesh,2018,3,kurnool district,2921189,2908389261.539773
111,Andhra Pradesh,2018,3,chittoor district,2297429,3283517630.720593
112,Andhra Pradesh,2018,3,guntur district,1912529,3127764663.180438
113,Andhra Pradesh,2018,3,krishna district,2396934,3754202654.3844614
114,Andhra Pradesh,2018,4,east godavari district,3052762,4652624623.436675
115,Andhra Pradesh,2018,4,srikakulam district,1252807,1870278609.504549
116,Andhra Pradesh,2018,4,spsr nellore district,1814997,3293448556.9734454
117,Andhra Pradesh,2018,4,vizianagaram district,1386787,1817673252.5417767
118,Andhra Pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373
119,Andhra Pradesh,2018,4,prakasam district,1692862,3255254226.03728
120,Andhra Pradesh,2018,4,anantapur district,2286391,3975878156.329829
121,Andhra Pradesh,2018,4,ysr district,1732527,3252340063.2478595
122,Andhra Pradesh,2018,4,west godavari district,1688482,3237504255.4632454
123,Andhra Pradesh,2018,4,kurnool district,2508530,3626544852.4069242
124,Andhra Pradesh,2018,4,chittoor district,3166201,4979093890.223491
125,Andhra Pradesh,2018,4,guntur district,2546620,4730251217.696959
126,Andhra Pradesh,2018,4,krishna district,2839161,5416251838.130407
127,Andhra Pradesh,2019,1,east godavari district,5440146,7382264724.59952
128,Andhra Pradesh,2019,1,srikakulam district,2526855,3407912878.4152584
129,Andhra Pradesh,2019,1,spsr nellore district,3333584,5161932216.216368
130,Andhra Pradesh,2019,1,vizianagaram district,2798241,3364576948.299301
131,Andhra Pradesh,2019,1,visakhapatnam district,9690866,13459857440.552685
132,Andhra Pradesh,2019,1,prakasam district,2931081,4807527779.215151
133,Andhra Pradesh,2019,1,anantapur district,3891336,6044730653.191345
134,Andhra Pradesh,2019,1,ysr district,2852197,4915811593.896078
135,Andhra Pradesh,2019,1,west godavari district,2829437,4623764455.47309
136,Andhra Pradesh,2019,1,kurnool district,4193432,5541564892.509682
137,Andhra Pradesh,2019,1,chittoor district,6486813,8223371732.233585
138,Andhra Pradesh,2019,1,guntur district,4846553,7765934169.404485
139,Andhra Pradesh,2019,1,krishna district,5443981,9061346433.072681
140,Andhra Pradesh,2019,2,east godavari district,4699261,9116404622.47651
