,State,Year,Quarter,District,Count,Amount
5959,Jammu & Kashmir,2022,2,kishtwar district,188126,322575247.5125381
5960,Jammu & Kashmir,2022,2,pulwama district,790442,1527002272.083313
5961,Jammu & Kashmir,2022,2,ramban district,320262,607095737.0299164
5962,Jammu & Kashmir,2022,2,rajouri district,565064,1321641184.8698494
5963,Jammu & Kashmir,2022,2,kulgam district,479844,650870806.9906567
5964,Jammu & Kashmir,2022,2,budgam district,1052343,1977187447.2169597
5965,Jammu & Kashmir,2022,2,anantnag district,1214291,1884518051.065606
5966,Jammu & Kashmir,2022,2,kupwara district,975579,1819041252.88245
5967,Jammu & Kashmir,2022,3,muzaffarabad district,12533,36613737.026607536
5968,Jammu & Kashmir,2022,3,doda district,373904,609472501.3634437
5969,Jammu & Kashmir,2022,3,samba district,842829,1581915447.7990084
5970,Jammu & Kashmir,2022,3,mirpur district,57562,165963511.14880985
5971,Jammu & Kashmir,2022,3,srinagar district,2447805,4804161643.106109
5972,Jammu & Kashmir,2022,3,baramulla district,1311393,2203515919.7910256
5973,Jammu & Kashmir,2022,3,jammu district,7526503,13607597636.170393
5974,Jammu & Kashmir,2022,3,ganderbal district,472648,930632192.6087635
5975,Jammu & Kashmir,2022,3,udhampur district,997199,1863833971.9477148
5976,Jammu & Kashmir,2022,3,bandipore district,386029,668983199.9584781
5977,Jammu & Kashmir,2022,3,reasi district,570648,1072011932.774343
5978,Jammu & Kashmir,2022,3,shopian district,320567,501659068.4017532
5979,Jammu & Kashmir,2022,3,poonch district,388681,897489057.0183108
5980,Jammu & Kashmir,2022,3,kathua district,834884,1473463666.339784
5981,Jammu & Kashmir,2022,3,kishtwar district,225295,396196222.3084749
5982,Jammu & Kashmir,2022,3,pulwama district,847472,1623093820.1695747
5983,Jammu & Kashmir,2022,3,ramban district,366778,680698346.3950101
5984,Jammu & Kashmir,2022,3,rajouri district,579577,1320001714.339793
5985,Jammu & Kashmir,2022,3,kulgam district,539004,763535701.9158515
5986,Jammu & Kashmir,2022,3,budgam district,1140418,1992489881.6152542
5987,Jammu & Kashmir,2022,3,anantnag district,1263844,1939518538.6283112
5988,Jammu & Kashmir,2022,3,kupwara district,1028821,1830706791.4213793
5989,Jammu & Kashmir,2022,4,muzaffarabad district,14832,35055780.855990365
5990,Jammu & Kashmir,2022,4,doda district,513476,629795395.8400228
5991,Jammu & Kashmir,2022,4,samba district,1025985,1822006887.441403
5992,Jammu & Kashmir,2022,4,mirpur district,72961,184917178.2132864
5993,Jammu & Kashmir,2022,4,srinagar district,3176470,5356773720.96018
5994,Jammu & Kashmir,2022,4,baramulla district,1599504,2370515820.01391
5995,Jammu & Kashmir,2022,4,jammu district,9213783,15674936388.296492
5996,Jammu & Kashmir,2022,4,ganderbal district,411732,597517710.9861526
5997,Jammu & Kashmir,2022,4,udhampur district,1227109,2035000646.9887607
5998,Jammu & Kashmir,2022,4,bandipore district,451513,626896193.6954811
5999,Jammu & Kashmir,2022,4,reasi district,700011,1146621584.5183542
6000,Jammu & Kashmir,2022,4,shopian district,402989,610805803.8629034
6001,Jammu & Kashmir,2022,4,poonch district,538857,1050594398.560792
6002,Jammu & Kashmir,2022,4,kathua district,1035799,1765328885.276795
6003,Jammu & Kashmir,2022,4,kishtwar district,283374,387202223.58237594
6004,Jammu & Kashmir,2022,4,pulwama district,963378,1594427876.0287037
6005,Jammu & Kashmir,2022,4,ramban district,438060,692350601.4061894
6006,Jammu & Kashmir,2022,4,rajouri district,726588,1476623503.222388
6007,Jammu & Kashmir,2022,4,kulgam district,654424,837066487.4013662
6008,Jammu & Kashmir,2022,4,budgam district,1306982,1932170615.5444055
6009,Jammu & Kashmir,2022,4,anantnag district,1338553,1684090753.6075988
6010,Jammu & Kashmir,2022,4,kupwara district,1219778,1804597459.1902237
6011,Jammu & Kashmir,2023,1,muzaffarabad district,20128,51235460.0
6012,Jammu & Kashmir,2023,1,doda district,865832,963594006.0
6013,Jammu & Kashmir,2023,1,samba district,1784289,2881890615.0
6014,Jammu & Kashmir,2023,1,mirpur district,126701,289931459.0
6015,Jammu & Kashmir,2023,1,srinagar district,3695677,5650181266.0
6016,Jammu & Kashmir,2023,1,baramulla district,2752305,3542417579.0
6017,Jammu & Kashmir,2023,1,jammu district,10062633,15395688639.0
6018,Jammu & Kashmir,2023,1,ganderbal district,644922,800267495.0
6019,Jammu & Kashmir,2023,1,udhampur district,2150992,3199398064.0
6020,Jammu & Kashmir,2023,1,bandipore district,754833,915148396.0
6021,Jammu & Kashmir,2023,1,reasi district,1233189,1862756570.0
6022,Jammu & Kashmir,2023,1,shopian district,623973,739993898.0
6023,Jammu & Kashmir,2023,1,poonch district,897818,1517844484.0
6024,Jammu & Kashmir,2023,1,kathua district,1772544,2772584597.0
6025,Jammu & Kashmir,2023,1,kishtwar district,487478,569176836.0
6026,Jammu & Kashmir,2023,1,pulwama district,1576453,2301558160.0
6027,Jammu & Kashmir,2023,1,ramban district,772706,1041150660.0
6028,Jammu & Kashmir,2023,1,rajouri district,1314677,2352043692.0
6029,Jammu & Kashmir,2023,1,kulgam district,1057703,1040759344.0
6030,Jammu & Kashmir,2023,1,budgam district,2135840,2875364245.0
6031,Jammu & Kashmir,2023,1,anantnag district,2186498,2447319229.0
6032,Jammu & Kashmir,2023,1,kupwara district,2010053,2711442887.0
6033,Jammu & Kashmir,2023,2,muzaffarabad district,35337,65849840.0
6034,Jammu & Kashmir,2023,2,doda district,1230358,1389627752.0
6035,Jammu & Kashmir,2023,2,samba district,2462291,3578070894.0
6036,Jammu & Kashmir,2023,2,mirpur district,183099,376011800.0
6037,Jammu & Kashmir,2023,2,srinagar district,5798618,9057848812.0
6038,Jammu & Kashmir,2023,2,baramulla district,3950312,5012742718.0
6039,Jammu & Kashmir,2023,2,jammu district,12519665,18093034879.0
6040,Jammu & Kashmir,2023,2,ganderbal district,1094888,1523913758.0
6041,Jammu & Kashmir,2023,2,udhampur district,2810698,4021272291.0
6042,Jammu & Kashmir,2023,2,bandipore district,1065502,1344236762.0
6043,Jammu & Kashmir,2023,2,reasi district,1749496,2622419268.0
6044,Jammu & Kashmir,2023,2,shopian district,989787,1103187221.0
6045,Jammu & Kashmir,2023,2,poonch district,1340547,2319474214.0
6046,Jammu & Kashmir,2023,2,kathua district,2417101,3367803832.0
6047,Jammu & Kashmir,2023,2,kishtwar district,663666,813628523.0
6048,Jammu & Kashmir,2023,2,pulwama district,2254773,3358021119.0
6049,Jammu & Kashmir,2023,2,ramban district,1125339,1467712387.0
6050,Jammu & Kashmir,2023,2,rajouri district,1846860,3125635603.0
6051,Jammu & Kashmir,2023,2,kulgam district,1628248,1640404531.0
6052,Jammu & Kashmir,2023,2,budgam district,3062613,4214975804.0
6053,Jammu & Kashmir,2023,2,anantnag district,3335448,3997881663.0
6054,Jammu & Kashmir,2023,2,kupwara district,3023653,4036251709.0
6055,Jammu & Kashmir,2023,3,muzaffarabad district,43317,92613431.0
6056,Jammu & Kashmir,2023,3,doda district,1389865,1662178991.0
6057,Jammu & Kashmir,2023,3,samba district,2803963,3799380535.0
6058,Jammu & Kashmir,2023,3,mirpur district,182955,360260789.0
6059,Jammu & Kashmir,2023,3,srinagar district,7003470,9995586701.0
6060,Jammu & Kashmir,2023,3,baramulla district,4764647,5690607706.0
6061,Jammu & Kashmir,2023,3,jammu district,14432102,19883917524.0
6062,Jammu & Kashmir,2023,3,ganderbal district,1518152,2303133445.0
6063,Jammu & Kashmir,2023,3,udhampur district,3051454,4231599879.0
6064,Jammu & Kashmir,2023,3,bandipore district,1276481,1596055809.0
6065,Jammu & Kashmir,2023,3,reasi district,1898355,2602430820.0
6066,Jammu & Kashmir,2023,3,shopian district,1189432,1294714599.0
6067,Jammu & Kashmir,2023,3,poonch district,1478439,2362346048.0
6068,Jammu & Kashmir,2023,3,kathua district,2707886,3791246562.0
6069,Jammu & Kashmir,2023,3,kishtwar district,798927,1004496567.0
6070,Jammu & Kashmir,2023,3,pulwama district,2662125,3873276450.0
6071,Jammu & Kashmir,2023,3,ramban district,1292908,1777537378.0
6072,Jammu & Kashmir,2023,3,rajouri district,2098826,3436523552.0
6073,Jammu & Kashmir,2023,3,kulgam district,1931905,1983213851.0
6074,Jammu & Kashmir,2023,3,budgam district,3693931,4944326402.0
6075,Jammu & Kashmir,2023,3,anantnag district,4122154,4972376475.0
6076,Jammu & Kashmir,2023,3,kupwara district,3562285,4358324912.0
6077,Jammu & Kashmir,2023,4,muzaffarabad district,45913,88114272.0
6078,Jammu & Kashmir,2023,4,doda district,1522265,1782463386.0
6079,Jammu & Kashmir,2023,4,samba district,3222238,4395996752.0
6080,Jammu & Kashmir,2023,4,mirpur district,207425,403390530.0
6081,Jammu & Kashmir,2023,4,srinagar district,7074012,10113352740.0
6082,Jammu & Kashmir,2023,4,baramulla district,5009274,6414810534.0
6083,Jammu & Kashmir,2023,4,jammu district,16836698,23295898530.0
6084,Jammu & Kashmir,2023,4,ganderbal district,1239072,1587488854.0
6085,Jammu & Kashmir,2023,4,udhampur district,3516389,4822653780.0
6086,Jammu & Kashmir,2023,4,bandipore district,1337160,1583429415.0
6087,Jammu & Kashmir,2023,4,reasi district,2204425,2902563933.0
6088,Jammu & Kashmir,2023,4,shopian district,1358140,1705185937.0
6089,Jammu & Kashmir,2023,4,poonch district,1611652,2568995996.0
6090,Jammu & Kashmir,2023,4,kathua district,3271541,4645358981.0
6091,Jammu & Kashmir,2023,4,kishtwar district,838700,1009423446.0
6092,Jammu & Kashmir,2023,4,pulwama district,2718256,3937047720.0
6093,Jammu & Kashmir,2023,4,ramban district,1353636,1727315306.0
6094,Jammu & Kashmir,2023,4,rajouri district,2348353,3744674648.0
6095,Jammu & Kashmir,2023,4,kulgam district,2038643,2300544081.0
6096,Jammu & Kashmir,2023,4,budgam district,3782455,4948841420.0
6097,Jammu & Kashmir,2023,4,anantnag district,3898355,4563638521.0
6098,Jammu & Kashmir,2023,4,kupwara district,3732530,4528952978.0
6099,Jammu & Kashmir,2024,1,muzaffarabad district,40747,66093964.0
6100,Jammu & Kashmir,2024,1,doda district,1698725,1803820761.0
6101,Jammu & Kashmir,2024,1,samba district,3596063,4686290713.0
6102,Jammu & Kashmir,2024,1,mirpur district,232220,412413801.0
6103,Jammu & Kashmir,2024,1,srinagar district,6986808,9356469544.0
6104,Jammu & Kashmir,2024,1,baramulla district,5226975,6071530650.0
6105,Jammu & Kashmir,2024,1,jammu district,19249444,25207763123.0
6106,Jammu & Kashmir,2024,1,ganderbal district,1242894,1400242655.0
6107,Jammu & Kashmir,2024,1,udhampur district,3997488,5290784055.0
6108,Jammu & Kashmir,2024,1,bandipore district,1434008,1477623697.0
6109,Jammu & Kashmir,2024,1,reasi district,2407000,3091231846.0
6110,Jammu & Kashmir,2024,1,shopian district,1343419,1290884288.0
6111,Jammu & Kashmir,2024,1,poonch district,1915682,2790015980.0
6112,Jammu & Kashmir,2024,1,kathua district,3624676,4828507691.0
6113,Jammu & Kashmir,2024,1,kishtwar district,981291,1056960046.0
6114,Jammu & Kashmir,2024,1,pulwama district,2847167,3669354561.0
6115,Jammu & Kashmir,2024,1,ramban district,1407020,1662336955.0
6116,Jammu & Kashmir,2024,1,rajouri district,2835974,4275411889.0
6117,Jammu & Kashmir,2024,1,kulgam district,2067915,1924634062.0
6118,Jammu & Kashmir,2024,1,budgam district,3901134,4842048433.0
6119,Jammu & Kashmir,2024,1,anantnag district,4038432,4233564352.0
6120,Jammu & Kashmir,2024,1,kupwara district,4041273,4522945875.0
6121,Jharkhand,2018,1,ramgarh district,97459,85844869.66475454
6122,Jharkhand,2018,1,ranchi district,356622,434234048.4962647
6123,Jharkhand,2018,1,east singhbhum district,220276,257229540.65490007
6124,Jharkhand,2018,1,jamtara district,21925,37530176.98115201
6125,Jharkhand,2018,1,dumka district,37867,33366389.64390042
6126,Jharkhand,2018,1,koderma district,58922,76001334.68492848
6127,Jharkhand,2018,1,hazaribagh district,150709,171297280.2361688
6128,Jharkhand,2018,1,simdega district,6739,9328083.907140622
6129,Jharkhand,2018,1,garhwa district,47858,105426064.77369875
6130,Jharkhand,2018,1,saraikela kharsawan district,83449,74573902.81878725
6131,Jharkhand,2018,1,gumla district,12079,15422722.31229529
6132,Jharkhand,2018,1,chatra district,28364,48808252.9144469
6133,Jharkhand,2018,1,khunti district,10377,12238451.413852565
6134,Jharkhand,2018,1,dhanbad district,340878,271973005.2993548
6135,Jharkhand,2018,1,godda district,36994,36033979.36832302
6136,Jharkhand,2018,1,deoghar district,70058,91100585.73781538
6137,Jharkhand,2018,1,palamu district,84608,128141542.2688809
6138,Jharkhand,2018,1,latehar district,20416,35121829.70128228
6139,Jharkhand,2018,1,west singhbhum district,34197,38008802.03968498
6140,Jharkhand,2018,1,pakur district,17321,10639883.904580789
6141,Jharkhand,2018,1,lohardaga district,15716,16349311.325518148
6142,Jharkhand,2018,1,sahebganj district,30741,44038697.06983768
6143,Jharkhand,2018,1,giridih district,131905,131409945.94483337
6144,Jharkhand,2018,1,bokaro district,263441,210067688.75698972
6145,Jharkhand,2018,2,ramgarh district,120655,173725383.96619216
6146,Jharkhand,2018,2,ranchi district,501072,820976014.2247977
6147,Jharkhand,2018,2,east singhbhum district,323829,467008622.29054534
6148,Jharkhand,2018,2,jamtara district,33336,65954452.967897445
6149,Jharkhand,2018,2,dumka district,52730,62513760.31002599
6150,Jharkhand,2018,2,koderma district,78447,157457238.23045406
6151,Jharkhand,2018,2,hazaribagh district,214298,371520189.2845477
6152,Jharkhand,2018,2,simdega district,9842,19536971.86893055
6153,Jharkhand,2018,2,garhwa district,80546,248149219.75080514
6154,Jharkhand,2018,2,saraikela kharsawan district,117686,128312051.58743985
6155,Jharkhand,2018,2,gumla district,18470,30300849.443379648
6156,Jharkhand,2018,2,chatra district,42721,103935683.23963837
6157,Jharkhand,2018,2,khunti district,14808,24028506.190518655
6158,Jharkhand,2018,2,dhanbad district,520547,503649314.08955395
6159,Jharkhand,2018,2,godda district,55790,94877071.5958207
6160,Jharkhand,2018,2,deoghar district,96438,148363954.84218916
6161,Jharkhand,2018,2,palamu district,131021,325976624.8230643
6162,Jharkhand,2018,2,latehar district,31244,78012578.84608759
6163,Jharkhand,2018,2,west singhbhum district,49609,69912382.99671319
6164,Jharkhand,2018,2,pakur district,24613,32269216.251769222
6165,Jharkhand,2018,2,lohardaga district,20959,31539375.169917487
6166,Jharkhand,2018,2,sahebganj district,44517,97661893.23262924
6167,Jharkhand,2018,2,giridih district,172783,267172044.8851918
6168,Jharkhand,2018,2,bokaro district,396119,398722258.97476417
6169,Jharkhand,2018,3,ramgarh district,264474,310366602.6469911
6170,Jharkhand,2018,3,ranchi district,1040485,1373309866.0578432
6171,Jharkhand,2018,3,east singhbhum district,716556,825516933.9712927
6172,Jharkhand,2018,3,jamtara district,73849,76580887.24947754
6173,Jharkhand,2018,3,dumka district,151655,133011457.10467342
6174,Jharkhand,2018,3,koderma district,138942,249949409.4803542
6175,Jharkhand,2018,3,hazaribagh district,542701,663718370.6947035
6176,Jharkhand,2018,3,simdega district,13726,25648369.734839424
6177,Jharkhand,2018,3,garhwa district,108433,336403685.7283772
6178,Jharkhand,2018,3,saraikela kharsawan district,290800,265695487.6867497
6179,Jharkhand,2018,3,gumla district,25772,42595638.74931184
6180,Jharkhand,2018,3,chatra district,79849,174206860.24867332
6181,Jharkhand,2018,3,khunti district,21153,44676454.34154199
6182,Jharkhand,2018,3,dhanbad district,2064271,1383326534.6497746
6183,Jharkhand,2018,3,godda district,74223,125755382.3951503
6184,Jharkhand,2018,3,deoghar district,152113,198908051.87959886
6185,Jharkhand,2018,3,palamu district,166304,405648506.51824975
6186,Jharkhand,2018,3,latehar district,44859,121527383.17373994
6187,Jharkhand,2018,3,west singhbhum district,79053,112805093.1913876
6188,Jharkhand,2018,3,pakur district,40103,53635968.332766
6189,Jharkhand,2018,3,lohardaga district,29529,51299901.60382438
6190,Jharkhand,2018,3,sahebganj district,63020,126227082.25502507
6191,Jharkhand,2018,3,giridih district,334079,457115389.3922781
6192,Jharkhand,2018,3,bokaro district,1606672,1103642100.617909
6193,Jharkhand,2018,4,ramgarh district,245189,412829670.89178383
6194,Jharkhand,2018,4,ranchi district,997887,1817673935.7006779
6195,Jharkhand,2018,4,east singhbhum district,616640,990453488.2225387
6196,Jharkhand,2018,4,jamtara district,69899,88236099.31173173
6197,Jharkhand,2018,4,dumka district,108716,130199956.43032046
6198,Jharkhand,2018,4,koderma district,145018,347563723.9094753
6199,Jharkhand,2018,4,hazaribagh district,454790,843013094.1120856
6200,Jharkhand,2018,4,simdega district,19546,44876911.67864157
6201,Jharkhand,2018,4,garhwa district,150200,498426272.61469066
6202,Jharkhand,2018,4,saraikela kharsawan district,242853,296733243.1740029
6203,Jharkhand,2018,4,gumla district,35436,74139877.45931
6204,Jharkhand,2018,4,chatra district,99556,275373551.3442755
6205,Jharkhand,2018,4,khunti district,27189,58660541.43013879
6206,Jharkhand,2018,4,dhanbad district,1062585,1128043527.8329782
6207,Jharkhand,2018,4,godda district,111530,195266208.56380132
6208,Jharkhand,2018,4,deoghar district,152383,236116834.01685223
6209,Jharkhand,2018,4,palamu district,234378,620094977.5658048
6210,Jharkhand,2018,4,latehar district,69590,215459501.83440596
6211,Jharkhand,2018,4,west singhbhum district,94778,161602065.21757331
6212,Jharkhand,2018,4,pakur district,58677,76373283.19081725
6213,Jharkhand,2018,4,lohardaga district,35604,81171963.13151148
6214,Jharkhand,2018,4,sahebganj district,88654,175686520.1584292
6215,Jharkhand,2018,4,giridih district,364032,575695972.035529
6216,Jharkhand,2018,4,bokaro district,798913,898225421.2948879
6217,Jharkhand,2019,1,ramgarh district,349693,489903880.8153255
6218,Jharkhand,2019,1,ranchi district,1958897,3112736131.120337
6219,Jharkhand,2019,1,east singhbhum district,909285,1244357275.145483
6220,Jharkhand,2019,1,jamtara district,92090,106210459.76307851
6221,Jharkhand,2019,1,dumka district,161100,170044993.11020815
6222,Jharkhand,2019,1,koderma district,206484,382615731.9092488
6223,Jharkhand,2019,1,hazaribagh district,658381,1096533636.5584443
6224,Jharkhand,2019,1,simdega district,21230,49042353.79927784
6225,Jharkhand,2019,1,garhwa district,189007,622547866.7237244
6226,Jharkhand,2019,1,saraikela kharsawan district,395831,376316821.2155843
6227,Jharkhand,2019,1,gumla district,44668,89190224.49664608
6228,Jharkhand,2019,1,chatra district,139459,349699443.98078203
6229,Jharkhand,2019,1,khunti district,36962,76762554.1396697
6230,Jharkhand,2019,1,dhanbad district,1390250,1330543703.1307168
6231,Jharkhand,2019,1,godda district,193681,262228609.84591857
6232,Jharkhand,2019,1,deoghar district,204610,311986223.28785783
6233,Jharkhand,2019,1,palamu district,336935,875063883.7575887
6234,Jharkhand,2019,1,latehar district,105495,304872788.6697321
6235,Jharkhand,2019,1,west singhbhum district,132348,203416567.0013063
6236,Jharkhand,2019,1,pakur district,89881,101085742.56454855
6237,Jharkhand,2019,1,lohardaga district,44688,101421187.79935181
6238,Jharkhand,2019,1,sahebganj district,111302,229450483.51369292
6239,Jharkhand,2019,1,giridih district,540524,695057378.0180323
6240,Jharkhand,2019,1,bokaro district,1074907,1046148508.9114575
6241,Jharkhand,2019,2,ramgarh district,331688,593592675.6244884
6242,Jharkhand,2019,2,ranchi district,3147028,5924687357.225821
6243,Jharkhand,2019,2,east singhbhum district,960100,1505995808.375913
6244,Jharkhand,2019,2,jamtara district,62476,117513448.63148057
6245,Jharkhand,2019,2,dumka district,120692,195596448.81764007
6246,Jharkhand,2019,2,koderma district,194180,466014390.1260528
6247,Jharkhand,2019,2,hazaribagh district,633673,1332857266.8961062
6248,Jharkhand,2019,2,simdega district,27420,68451218.94833788
6249,Jharkhand,2019,2,garhwa district,205986,744151237.499465
6250,Jharkhand,2019,2,saraikela kharsawan district,328153,412040653.554274
6251,Jharkhand,2019,2,gumla district,49344,105885709.66313219
6252,Jharkhand,2019,2,chatra district,145939,427446541.16172373
6253,Jharkhand,2019,2,khunti district,38486,92472196.04874589
6254,Jharkhand,2019,2,dhanbad district,1279110,1614589568.7048624
6255,Jharkhand,2019,2,godda district,143913,298191584.8881432
6256,Jharkhand,2019,2,deoghar district,216404,385121235.7476239
6257,Jharkhand,2019,2,palamu district,330327,1046448701.3271729
6258,Jharkhand,2019,2,latehar district,104321,330417179.3593244
6259,Jharkhand,2019,2,west singhbhum district,127553,243625440.90217423
6260,Jharkhand,2019,2,pakur district,67895,110901285.51662283
6261,Jharkhand,2019,2,lohardaga district,49909,114529140.20313537
6262,Jharkhand,2019,2,sahebganj district,95569,250029522.62360385
6263,Jharkhand,2019,2,giridih district,447860,872870570.3762811
6264,Jharkhand,2019,2,bokaro district,1020185,1369272123.3242126
6265,Jharkhand,2019,3,ramgarh district,466086,666327597.117374
6266,Jharkhand,2019,3,ranchi district,3924885,6987035689.115903
6267,Jharkhand,2019,3,east singhbhum district,1439445,1863746509.1365323
6268,Jharkhand,2019,3,jamtara district,74851,142379562.4853839
6269,Jharkhand,2019,3,dumka district,163465,254711658.17907476
6270,Jharkhand,2019,3,koderma district,218889,472984198.32100344
6271,Jharkhand,2019,3,hazaribagh district,917999,1501364416.6671975
6272,Jharkhand,2019,3,simdega district,32543,71672793.4660503
6273,Jharkhand,2019,3,garhwa district,253092,766713453.1640826
6274,Jharkhand,2019,3,saraikela kharsawan district,436371,499189494.0970435
6275,Jharkhand,2019,3,gumla district,60628,120987411.12363127
6276,Jharkhand,2019,3,chatra district,191618,462948245.07882226
6277,Jharkhand,2019,3,khunti district,46902,96458968.46191373
6278,Jharkhand,2019,3,dhanbad district,2290227,1900631592.4346042
6279,Jharkhand,2019,3,godda district,156420,330294444.3316301
6280,Jharkhand,2019,3,deoghar district,344455,555613175.4677337
6281,Jharkhand,2019,3,palamu district,408718,1090919704.3977737
6282,Jharkhand,2019,3,latehar district,144588,398425179.6788881
6283,Jharkhand,2019,3,west singhbhum district,172682,269069817.53950894
6284,Jharkhand,2019,3,pakur district,70296,127897219.12087816
6285,Jharkhand,2019,3,lohardaga district,60724,122597923.83547777
6286,Jharkhand,2019,3,sahebganj district,109215,274001393.08005285
6287,Jharkhand,2019,3,giridih district,498118,876022719.9153262
6288,Jharkhand,2019,3,bokaro district,1738430,1613980827.1432543
6289,Jharkhand,2019,4,ramgarh district,606260,907240261.0972492
6290,Jharkhand,2019,4,ranchi district,4962725,8766487755.261751
6291,Jharkhand,2019,4,east singhbhum district,1743320,2454308540.295499
6292,Jharkhand,2019,4,jamtara district,128678,181420052.0316623
6293,Jharkhand,2019,4,dumka district,246083,333225930.0008347
6294,Jharkhand,2019,4,koderma district,300610,620039096.2061743
6295,Jharkhand,2019,4,hazaribagh district,1115893,1919987793.5106766
6296,Jharkhand,2019,4,simdega district,50843,111985838.91556814
6297,Jharkhand,2019,4,garhwa district,353292,1079121447.7061095
6298,Jharkhand,2019,4,saraikela kharsawan district,542522,632386702.9813409
6299,Jharkhand,2019,4,gumla district,88718,182271440.1914146
6300,Jharkhand,2019,4,chatra district,266238,605474152.4401714
6301,Jharkhand,2019,4,khunti district,63682,141760019.40566558
6302,Jharkhand,2019,4,dhanbad district,2966376,2559078950.795422
6303,Jharkhand,2019,4,godda district,223042,498672089.4866885
6304,Jharkhand,2019,4,deoghar district,411994,652381524.6441478
6305,Jharkhand,2019,4,palamu district,568241,1542916983.3263822
6306,Jharkhand,2019,4,latehar district,178887,527968456.97653687
6307,Jharkhand,2019,4,west singhbhum district,237879,373351248.94109875
6308,Jharkhand,2019,4,pakur district,101976,169185786.96339715
6309,Jharkhand,2019,4,lohardaga district,84315,178315463.61294547
6310,Jharkhand,2019,4,sahebganj district,148678,378366809.0588422
6311,Jharkhand,2019,4,giridih district,664950,1173756910.3354383
6312,Jharkhand,2019,4,bokaro district,2193416,2158045122.491934
6313,Jharkhand,2020,1,ramgarh district,695324,1086274774.7268305
6314,Jharkhand,2020,1,ranchi district,5132983,10593904951.012724
6315,Jharkhand,2020,1,east singhbhum district,1934537,3099559621.386287
6316,Jharkhand,2020,1,jamtara district,110484,209697372.97611183
6317,Jharkhand,2020,1,dumka district,224016,383229546.99452996
6318,Jharkhand,2020,1,koderma district,365431,822439808.7029362
6319,Jharkhand,2020,1,hazaribagh district,1199387,2376853316.738264
6320,Jharkhand,2020,1,simdega district,64462,137272246.4613846
6321,Jharkhand,2020,1,garhwa district,428582,1339489644.523571
6322,Jharkhand,2020,1,saraikela kharsawan district,595845,742590781.671559
6323,Jharkhand,2020,1,gumla district,111756,222110686.8773355
6324,Jharkhand,2020,1,chatra district,313522,788916110.327395
6325,Jharkhand,2020,1,khunti district,75552,152340107.1539104
6326,Jharkhand,2020,1,dhanbad district,2193642,2650637205.6009936
6327,Jharkhand,2020,1,godda district,249509,564748152.099283
6328,Jharkhand,2020,1,deoghar district,434837,757609415.2029015
6329,Jharkhand,2020,1,palamu district,715476,2015033114.7157931
6330,Jharkhand,2020,1,latehar district,217475,639364154.4533424
6331,Jharkhand,2020,1,west singhbhum district,285811,454415645.6741731
6332,Jharkhand,2020,1,pakur district,108230,205523234.31388295
6333,Jharkhand,2020,1,lohardaga district,104542,204296439.89280277
6334,Jharkhand,2020,1,sahebganj district,177230,487455326.4314028
6335,Jharkhand,2020,1,giridih district,724320,1422925290.0151396
6336,Jharkhand,2020,1,bokaro district,1819760,2254545205.3164005
6337,Jharkhand,2020,2,ramgarh district,881527,1300903967.457524
6338,Jharkhand,2020,2,ranchi district,4656822,10380666521.918905
6339,Jharkhand,2020,2,east singhbhum district,1939867,2840155683.786606
6340,Jharkhand,2020,2,jamtara district,161843,350691494.27817845
6341,Jharkhand,2020,2,dumka district,259862,469191055.92352027
6342,Jharkhand,2020,2,koderma district,493830,912366534.8065351
6343,Jharkhand,2020,2,hazaribagh district,1409834,2588140607.1389537
6344,Jharkhand,2020,2,simdega district,100085,195028382.9212324
6345,Jharkhand,2020,2,garhwa district,599059,1748704415.4989936
6346,Jharkhand,2020,2,saraikela kharsawan district,587527,766916078.3234978
6347,Jharkhand,2020,2,gumla district,175059,330789187.03839815
6348,Jharkhand,2020,2,chatra district,476954,1108137355.0743728
6349,Jharkhand,2020,2,khunti district,127141,263827186.5077803
6350,Jharkhand,2020,2,dhanbad district,2069288,2849779826.644753
6351,Jharkhand,2020,2,godda district,342499,727907900.2439984
6352,Jharkhand,2020,2,deoghar district,517347,910853520.4686105
6353,Jharkhand,2020,2,palamu district,977293,2564725761.923155
6354,Jharkhand,2020,2,latehar district,301760,870606389.4069383
6355,Jharkhand,2020,2,west singhbhum district,384576,582210638.4847379
6356,Jharkhand,2020,2,pakur district,147662,275919707.4833728
6357,Jharkhand,2020,2,lohardaga district,149462,289764741.07358885
6358,Jharkhand,2020,2,sahebganj district,245058,659620579.2781014
6359,Jharkhand,2020,2,giridih district,1094408,1886588905.3434167
6360,Jharkhand,2020,2,bokaro district,2042748,2612705534.8983884
6361,Jharkhand,2020,3,ramgarh district,1222166,1969854247.423759
6362,Jharkhand,2020,3,ranchi district,6079407,12343755027.43895
6363,Jharkhand,2020,3,east singhbhum district,2722454,4116728544.957738
6364,Jharkhand,2020,3,jamtara district,167054,337059955.068951
6365,Jharkhand,2020,3,dumka district,329425,648063334.9878433
6366,Jharkhand,2020,3,koderma district,670438,1354273356.911725
6367,Jharkhand,2020,3,hazaribagh district,2043474,3943736117.757715
6368,Jharkhand,2020,3,simdega district,114037,257055553.20793328
6369,Jharkhand,2020,3,garhwa district,691808,1995620748.670542
6370,Jharkhand,2020,3,saraikela kharsawan district,813102,1185068471.0752506
6371,Jharkhand,2020,3,gumla district,211669,453944247.74527246
6372,Jharkhand,2020,3,chatra district,553055,1310278826.408379
6373,Jharkhand,2020,3,khunti district,259453,653803866.6006848
