,State,Year,Quarter,Registered_Users,App_Opens,District
0,Andaman & Nicobar,2018,1,632,0,north and middle andaman district
1,Andaman & Nicobar,2018,1,5846,0,south andaman district
2,Andaman & Nicobar,2018,1,262,0,nicobars district
3,Andaman & Nicobar,2018,2,911,0,north and middle andaman district
4,Andaman & Nicobar,2018,2,8143,0,south andaman district
5,Andaman & Nicobar,2018,2,351,0,nicobars district
6,Andaman & Nicobar,2018,3,1208,0,north and middle andaman district
7,Andaman & Nicobar,2018,3,10474,0,south andaman district
8,Andaman & Nicobar,2018,3,467,0,nicobars district
9,Andaman & Nicobar,2018,4,1553,0,north and middle andaman district
10,Andaman & Nicobar,2018,4,13133,0,south andaman district
11,Andaman & Nicobar,2018,4,536,0,nicobars district
12,Andaman & Nicobar,2019,1,2013,0,north and middle andaman district
13,Andaman & Nicobar,2019,1,15961,0,south andaman district
14,Andaman & Nicobar,2019,1,622,0,nicobars district
15,Andaman & Nicobar,2019,2,2417,6118,north and middle andaman district
16,Andaman & Nicobar,2019,2,18621,43569,south andaman district
17,Andaman & Nicobar,2019,2,693,2953,nicobars district
18,Andaman & Nicobar,2019,3,2662,22064,north and middle andaman district
19,Andaman & Nicobar,2019,3,20518,138190,south andaman district
20,Andaman & Nicobar,2019,3,751,10853,nicobars district
21,Andaman & Nicobar,2019,4,2955,26253,north and middle andaman district
22,Andaman & Nicobar,2019,4,22202,139646,south andaman district
23,Andaman & Nicobar,2019,4,803,11113,nicobars district
24,Andaman & Nicobar,2020,1,3315,30444,north and middle andaman district
25,Andaman & Nicobar,2020,1,24174,151529,south andaman district
26,Andaman & Nicobar,2020,1,879,11613,nicobars district
27,Andaman & Nicobar,2020,2,4100,56992,north and middle andaman district
28,Andaman & Nicobar,2020,2,27626,231071,south andaman district
29,Andaman & Nicobar,2020,2,984,17009,nicobars district
30,Andaman & Nicobar,2020,3,5355,76553,north and middle andaman district
31,Andaman & Nicobar,2020,3,34833,417785,south andaman district
32,Andaman & Nicobar,2020,3,1147,21227,nicobars district
33,Andaman & Nicobar,2020,4,7076,125915,north and middle andaman district
34,Andaman & Nicobar,2020,4,43908,725321,south andaman district
35,Andaman & Nicobar,2020,4,1412,35972,nicobars district
36,Andaman & Nicobar,2021,1,7833,121680,north and middle andaman district
37,Andaman & Nicobar,2021,1,48352,837589,south andaman district
38,Andaman & Nicobar,2021,1,1573,45067,nicobars district
39,Andaman & Nicobar,2021,2,8493,596182,north and middle andaman district
40,Andaman & Nicobar,2021,2,51903,1270226,south andaman district
41,Andaman & Nicobar,2021,2,1699,381815,nicobars district
42,Andaman & Nicobar,2021,3,9263,759314,north and middle andaman district
43,Andaman & Nicobar,2021,3,55873,1771107,south andaman district
44,Andaman & Nicobar,2021,3,1846,591204,nicobars district
45,Andaman & Nicobar,2021,4,10002,171921,north and middle andaman district
46,Andaman & Nicobar,2021,4,59807,1863037,south andaman district
47,Andaman & Nicobar,2021,4,1971,77952,nicobars district
48,Andaman & Nicobar,2022,1,10720,904869,north and middle andaman district
49,Andaman & Nicobar,2022,1,63487,2368756,south andaman district
50,Andaman & Nicobar,2022,1,2081,573782,nicobars district
51,Andaman & Nicobar,2022,2,11379,963824,north and middle andaman district
52,Andaman & Nicobar,2022,2,66959,3404740,south andaman district
53,Andaman & Nicobar,2022,2,2192,811449,nicobars district
54,Andaman & Nicobar,2022,3,11897,1176567,north and middle andaman district
55,Andaman & Nicobar,2022,3,70445,3607286,south andaman district
56,Andaman & Nicobar,2022,3,2300,1284501,nicobars district
57,Andaman & Nicobar,2022,4,12361,313502,north and middle andaman district
58,Andaman & Nicobar,2022,4,73692,3881359,south andaman district
59,Andaman & Nicobar,2022,4,2389,159232,nicobars district
60,Andaman & Nicobar,2023,1,12941,3103047,north and middle andaman district
61,Andaman & Nicobar,2023,1,77052,5450795,south andaman district
62,Andaman & Nicobar,2023,1,2491,2458822,nicobars district
63,Andaman & Nicobar,2023,2,13600,3174229,north and middle andaman district
64,Andaman & Nicobar,2023,2,80112,6884657,south andaman district
65,Andaman & Nicobar,2023,2,2617,4679790,nicobars district
66,Andaman & Nicobar,2023,3,14216,7130284,north and middle andaman district
67,Andaman & Nicobar,2023,3,83305,5950899,south andaman district
68,Andaman & Nicobar,2023,3,2734,7463896,nicobars district
69,Andaman & Nicobar,2023,4,14813,1869462,north and middle andaman district
70,Andaman & Nicobar,2023,4,86348,7452861,south andaman district
71,Andaman & Nicobar,2023,4,2817,523637,nicobars district
72,Andaman & Nicobar,2024,1,15539,9022450,north and middle andaman district
73,Andaman & Nicobar,2024,1,89907,12147903,south andaman district
74,Andaman & Nicobar,2024,1,2965,7368398,nicobars district
75,Andhra Pradesh,2018,1,350356,0,east godavari district
76,Andhra Pradesh,2018,1,143839,0,srikakulam district
77,Andhra Pradesh,2018,1,497187,0,visakhapatnam district
78,Andhra Pradesh,2018,1,189949,0,prakasam district
79,Andhra Pradesh,2018,1,241192,0,anantapur district
80,Andhra Pradesh,2018,1,240133,0,kurnool district
81,Andhra Pradesh,2018,1,317065,0,guntur district
82,Andhra Pradesh,2018,1,323673,0,krishna district
83,Andhra Pradesh,2018,1,194475,0,spsr nellore district
84,Andhra Pradesh,2018,1,128905,0,vizianagaram district
85,Andhra Pradesh,2018,1,186800,0,ysr district
86,Andhra Pradesh,2018,1,213335,0,west godavari district
87,Andhra Pradesh,2018,1,309541,0,chittoor district
88,Andhra Pradesh,2018,2,454398,0,east godavari district
89,Andhra Pradesh,2018,2,186913,0,srikakulam district
90,Andhra Pradesh,2018,2,636052,0,visakhapatnam district
91,Andhra Pradesh,2018,2,253458,0,prakasam district
92,Andhra Pradesh,2018,2,326383,0,anantapur district
93,Andhra Pradesh,2018,2,319313,0,kurnool district
94,Andhra Pradesh,2018,2,420326,0,guntur district
95,Andhra Pradesh,2018,2,431965,0,krishna district
96,Andhra Pradesh,2018,2,261049,0,spsr nellore district
97,Andhra Pradesh,2018,2,167327,0,vizianagaram district
98,Andhra Pradesh,2018,2,248657,0,ysr district
99,Andhra Pradesh,2018,2,282393,0,west godavari district
100,Andhra Pradesh,2018,2,414306,0,chittoor district
101,Andhra Pradesh,2018,3,558982,0,east godavari district
102,Andhra Pradesh,2018,3,228456,0,srikakulam district
103,Andhra Pradesh,2018,3,769096,0,visakhapatnam district
104,Andhra Pradesh,2018,3,314899,0,prakasam district
105,Andhra Pradesh,2018,3,405855,0,anantapur district
106,Andhra Pradesh,2018,3,394311,0,kurnool district
107,Andhra Pradesh,2018,3,518931,0,guntur district
108,Andhra Pradesh,2018,3,537086,0,krishna district
109,Andhra Pradesh,2018,3,322446,0,spsr nellore district
110,Andhra Pradesh,2018,3,203655,0,vizianagaram district
111,Andhra Pradesh,2018,3,308391,0,ysr district
112,Andhra Pradesh,2018,3,349782,0,west godavari district
113,Andhra Pradesh,2018,3,515727,0,chittoor district
114,Andhra Pradesh,2018,4,694455,0,east godavari district
115,Andhra Pradesh,2018,4,284874,0,srikakulam district
116,Andhra Pradesh,2018,4,978288,0,visakhapatnam district
117,Andhra Pradesh,2018,4,394962,0,prakasam district
118,Andhra Pradesh,2018,4,510892,0,anantapur district
119,Andhra Pradesh,2018,4,498582,0,kurnool district
120,Andhra Pradesh,2018,4,659552,0,guntur district
121,Andhra Pradesh,2018,4,682479,0,krishna district
122,Andhra Pradesh,2018,4,407495,0,spsr nellore district
123,Andhra Pradesh,2018,4,257824,0,vizianagaram district
124,Andhra Pradesh,2018,4,387058,0,ysr district
125,Andhra Pradesh,2018,4,435668,0,west godavari district
126,Andhra Pradesh,2018,4,665280,0,chittoor district
127,Andhra Pradesh,2019,1,839277,0,east godavari district
128,Andhra Pradesh,2019,1,345775,0,srikakulam district
129,Andhra Pradesh,2019,1,1174517,0,visakhapatnam district
130,Andhra Pradesh,2019,1,474260,0,prakasam district
131,Andhra Pradesh,2019,1,612162,0,anantapur district
132,Andhra Pradesh,2019,1,599422,0,kurnool district
133,Andhra Pradesh,2019,1,802394,0,guntur district
134,Andhra Pradesh,2019,1,833694,0,krishna district
135,Andhra Pradesh,2019,1,491908,0,spsr nellore district
136,Andhra Pradesh,2019,1,313334,0,vizianagaram district
137,Andhra Pradesh,2019,1,460590,0,ysr district
138,Andhra Pradesh,2019,1,523372,0,west godavari district
139,Andhra Pradesh,2019,1,812314,0,chittoor district
140,Andhra Pradesh,2019,2,945181,7156762,east godavari district
141,Andhra Pradesh,2019,2,392764,3230330,srikakulam district
142,Andhra Pradesh,2019,2,1318740,13681907,visakhapatnam district
143,Andhra Pradesh,2019,2,539462,4488365,prakasam district
144,Andhra Pradesh,2019,2,695114,6056591,anantapur district
145,Andhra Pradesh,2019,2,680118,6240480,kurnool district
146,Andhra Pradesh,2019,2,915256,7268875,guntur district
147,Andhra Pradesh,2019,2,952300,7822632,krishna district
148,Andhra Pradesh,2019,2,558303,4774473,spsr nellore district
149,Andhra Pradesh,2019,2,355058,3541678,vizianagaram district
150,Andhra Pradesh,2019,2,519031,4345848,ysr district
151,Andhra Pradesh,2019,2,592185,3853094,west godavari district
152,Andhra Pradesh,2019,2,925491,8914216,chittoor district
153,Andhra Pradesh,2019,3,1057167,28275322,east godavari district
154,Andhra Pradesh,2019,3,437939,11813195,srikakulam district
155,Andhra Pradesh,2019,3,1460464,54836001,visakhapatnam district
156,Andhra Pradesh,2019,3,598568,16267041,prakasam district
157,Andhra Pradesh,2019,3,773656,22845084,anantapur district
158,Andhra Pradesh,2019,3,755024,22827473,kurnool district
159,Andhra Pradesh,2019,3,1026418,28477132,guntur district
160,Andhra Pradesh,2019,3,1066546,30077671,krishna district
161,Andhra Pradesh,2019,3,619592,17768733,spsr nellore district
162,Andhra Pradesh,2019,3,394375,13065845,vizianagaram district
163,Andhra Pradesh,2019,3,574109,15833900,ysr district
164,Andhra Pradesh,2019,3,662102,14227407,west godavari district
165,Andhra Pradesh,2019,3,1032733,34638738,chittoor district
166,Andhra Pradesh,2019,4,1195228,38299189,east godavari district
167,Andhra Pradesh,2019,4,496266,16353822,srikakulam district
168,Andhra Pradesh,2019,4,1620235,70749983,visakhapatnam district
169,Andhra Pradesh,2019,4,673522,21639748,prakasam district
170,Andhra Pradesh,2019,4,873033,30278539,anantapur district
171,Andhra Pradesh,2019,4,846885,29676997,kurnool district
172,Andhra Pradesh,2019,4,1158708,37846179,guntur district
173,Andhra Pradesh,2019,4,1199971,39407473,krishna district
174,Andhra Pradesh,2019,4,697154,23608360,spsr nellore district
175,Andhra Pradesh,2019,4,443810,17515311,vizianagaram district
176,Andhra Pradesh,2019,4,646642,21543798,ysr district
177,Andhra Pradesh,2019,4,750078,19393528,west godavari district
178,Andhra Pradesh,2019,4,1156351,44888591,chittoor district
179,Andhra Pradesh,2020,1,1329664,46142746,east godavari district
180,Andhra Pradesh,2020,1,552007,20975989,srikakulam district
181,Andhra Pradesh,2020,1,1763581,77558624,visakhapatnam district
182,Andhra Pradesh,2020,1,748655,26870693,prakasam district
183,Andhra Pradesh,2020,1,971850,36900103,anantapur district
184,Andhra Pradesh,2020,1,936293,34198350,kurnool district
185,Andhra Pradesh,2020,1,1289678,45282758,guntur district
186,Andhra Pradesh,2020,1,1331602,46079408,krishna district
187,Andhra Pradesh,2020,1,775440,28879364,spsr nellore district
188,Andhra Pradesh,2020,1,490683,21562104,vizianagaram district
189,Andhra Pradesh,2020,1,717865,26166193,ysr district
190,Andhra Pradesh,2020,1,843835,24542868,west godavari district
191,Andhra Pradesh,2020,1,1270907,51354573,chittoor district
192,Andhra Pradesh,2020,2,1459116,45884498,east godavari district
193,Andhra Pradesh,2020,2,608002,23808009,srikakulam district
194,Andhra Pradesh,2020,2,1904719,69684456,visakhapatnam district
195,Andhra Pradesh,2020,2,830709,32255276,prakasam district
196,Andhra Pradesh,2020,2,1076953,39704703,anantapur district
197,Andhra Pradesh,2020,2,1035093,36268390,kurnool district
198,Andhra Pradesh,2020,2,1426271,44267596,guntur district
199,Andhra Pradesh,2020,2,1459041,41234166,krishna district
200,Andhra Pradesh,2020,2,854459,30816403,spsr nellore district
201,Andhra Pradesh,2020,2,537798,24370380,vizianagaram district
202,Andhra Pradesh,2020,2,796769,29644037,ysr district
203,Andhra Pradesh,2020,2,944829,26583613,west godavari district
204,Andhra Pradesh,2020,2,1385916,49820171,chittoor district
205,Andhra Pradesh,2020,3,1601940,64292857,east godavari district
206,Andhra Pradesh,2020,3,667858,31794753,srikakulam district
207,Andhra Pradesh,2020,3,2058346,102589371,visakhapatnam district
208,Andhra Pradesh,2020,3,915240,44970519,prakasam district
209,Andhra Pradesh,2020,3,1186851,55714787,anantapur district
210,Andhra Pradesh,2020,3,1132240,49164718,kurnool district
211,Andhra Pradesh,2020,3,1567595,62427501,guntur district
212,Andhra Pradesh,2020,3,1599289,61028114,krishna district
213,Andhra Pradesh,2020,3,937176,43951448,spsr nellore district
214,Andhra Pradesh,2020,3,587784,31199437,vizianagaram district
215,Andhra Pradesh,2020,3,877909,41578067,ysr district
216,Andhra Pradesh,2020,3,1053674,38126238,west godavari district
217,Andhra Pradesh,2020,3,1506503,69462572,chittoor district
218,Andhra Pradesh,2020,4,1746280,82605352,east godavari district
219,Andhra Pradesh,2020,4,726761,36770992,srikakulam district
220,Andhra Pradesh,2020,4,2209658,124730170,visakhapatnam district
221,Andhra Pradesh,2020,4,999462,52839846,prakasam district
222,Andhra Pradesh,2020,4,1295872,69562398,anantapur district
223,Andhra Pradesh,2020,4,1230466,60615045,kurnool district
224,Andhra Pradesh,2020,4,1712940,81291172,guntur district
225,Andhra Pradesh,2020,4,1744028,81787771,krishna district
226,Andhra Pradesh,2020,4,1022944,54765443,spsr nellore district
227,Andhra Pradesh,2020,4,634462,35110885,vizianagaram district
228,Andhra Pradesh,2020,4,959182,49596303,ysr district
229,Andhra Pradesh,2020,4,1163179,51170162,west godavari district
230,Andhra Pradesh,2020,4,1631331,88232999,chittoor district
231,Andhra Pradesh,2021,1,1878769,91478749,east godavari district
232,Andhra Pradesh,2021,1,782604,40590058,srikakulam district
233,Andhra Pradesh,2021,1,2368081,135908324,visakhapatnam district
234,Andhra Pradesh,2021,1,1075936,56911479,prakasam district
235,Andhra Pradesh,2021,1,1394849,73375049,anantapur district
236,Andhra Pradesh,2021,1,1323411,65326230,kurnool district
237,Andhra Pradesh,2021,1,1843237,92731167,guntur district
238,Andhra Pradesh,2021,1,1876458,92941553,krishna district
239,Andhra Pradesh,2021,1,1100541,60691988,spsr nellore district
240,Andhra Pradesh,2021,1,681621,37752539,vizianagaram district
241,Andhra Pradesh,2021,1,1032689,53525815,ysr district
242,Andhra Pradesh,2021,1,1254117,57392671,west godavari district
243,Andhra Pradesh,2021,1,1751420,99083825,chittoor district
244,Andhra Pradesh,2021,2,2006272,84705076,east godavari district
245,Andhra Pradesh,2021,2,837958,43740255,srikakulam district
246,Andhra Pradesh,2021,2,2526830,114313154,visakhapatnam district
247,Andhra Pradesh,2021,2,1151232,76850749,prakasam district
248,Andhra Pradesh,2021,2,1492738,104568606,anantapur district
249,Andhra Pradesh,2021,2,1415585,81894678,kurnool district
250,Andhra Pradesh,2021,2,1968681,88248064,guntur district
251,Andhra Pradesh,2021,2,2002662,85771678,krishna district
252,Andhra Pradesh,2021,2,1176334,74049216,spsr nellore district
253,Andhra Pradesh,2021,2,729509,42684475,vizianagaram district
254,Andhra Pradesh,2021,2,1103004,72255265,ysr district
255,Andhra Pradesh,2021,2,1339377,65118788,west godavari district
256,Andhra Pradesh,2021,2,1870723,110505432,chittoor district
257,Andhra Pradesh,2021,3,2150622,103626560,east godavari district
258,Andhra Pradesh,2021,3,902008,48622126,srikakulam district
259,Andhra Pradesh,2021,3,2707931,139540800,visakhapatnam district
260,Andhra Pradesh,2021,3,1239147,91533813,prakasam district
261,Andhra Pradesh,2021,3,1606735,124985545,anantapur district
262,Andhra Pradesh,2021,3,1522196,101210508,kurnool district
263,Andhra Pradesh,2021,3,2110878,106621413,guntur district
264,Andhra Pradesh,2021,3,2145423,104358295,krishna district
265,Andhra Pradesh,2021,3,1263550,90102349,spsr nellore district
266,Andhra Pradesh,2021,3,784444,46277311,vizianagaram district
267,Andhra Pradesh,2021,3,1183377,86369956,ysr district
268,Andhra Pradesh,2021,3,1436576,80244808,west godavari district
269,Andhra Pradesh,2021,3,2007011,135043395,chittoor district
270,Andhra Pradesh,2021,4,2294347,142536856,east godavari district
271,Andhra Pradesh,2021,4,965335,61654215,srikakulam district
272,Andhra Pradesh,2021,4,2888774,188757640,visakhapatnam district
273,Andhra Pradesh,2021,4,1325728,86410317,prakasam district
274,Andhra Pradesh,2021,4,1719437,120768682,anantapur district
275,Andhra Pradesh,2021,4,1628242,97379271,kurnool district
276,Andhra Pradesh,2021,4,2252443,130920743,guntur district
277,Andhra Pradesh,2021,4,2288148,134436469,krishna district
278,Andhra Pradesh,2021,4,1349290,90814672,spsr nellore district
279,Andhra Pradesh,2021,4,839606,56101822,vizianagaram district
280,Andhra Pradesh,2021,4,1262963,83534122,ysr district
281,Andhra Pradesh,2021,4,1532898,100007280,west godavari district
282,Andhra Pradesh,2021,4,2141818,154395512,chittoor district
283,Andhra Pradesh,2022,1,2432305,87134562,east godavari district
284,Andhra Pradesh,2022,1,1027283,46691467,srikakulam district
285,Andhra Pradesh,2022,1,3061324,88803090,visakhapatnam district
286,Andhra Pradesh,2022,1,1408929,104851997,prakasam district
287,Andhra Pradesh,2022,1,1827094,155792533,anantapur district
288,Andhra Pradesh,2022,1,1729513,119653214,kurnool district
289,Andhra Pradesh,2022,1,2387051,88844052,guntur district
290,Andhra Pradesh,2022,1,2423373,85871644,krishna district
291,Andhra Pradesh,2022,1,1431664,101671767,spsr nellore district
292,Andhra Pradesh,2022,1,892889,44804002,vizianagaram district
293,Andhra Pradesh,2022,1,1339782,98878499,ysr district
294,Andhra Pradesh,2022,1,1626039,87642475,west godavari district
295,Andhra Pradesh,2022,1,2270705,144146671,chittoor district
296,Andhra Pradesh,2022,2,2564165,93383888,east godavari district
297,Andhra Pradesh,2022,2,1086164,51087942,srikakulam district
298,Andhra Pradesh,2022,2,3226029,93552701,visakhapatnam district
299,Andhra Pradesh,2022,2,1487589,108172758,prakasam district
300,Andhra Pradesh,2022,2,1928213,181499094,anantapur district
301,Andhra Pradesh,2022,2,1825280,136447455,kurnool district
302,Andhra Pradesh,2022,2,2514794,91997209,guntur district
303,Andhra Pradesh,2022,2,2552107,95341487,krishna district
304,Andhra Pradesh,2022,2,1509927,108755384,spsr nellore district
305,Andhra Pradesh,2022,2,943242,50230853,vizianagaram district
306,Andhra Pradesh,2022,2,1412848,106157470,ysr district
307,Andhra Pradesh,2022,2,1714357,103338893,west godavari district
308,Andhra Pradesh,2022,2,2392549,158771722,chittoor district
309,Andhra Pradesh,2022,3,2702234,85780890,east godavari district
310,Andhra Pradesh,2022,3,1147016,46323107,srikakulam district
311,Andhra Pradesh,2022,3,3397514,87888969,visakhapatnam district
312,Andhra Pradesh,2022,3,1567520,114185009,prakasam district
313,Andhra Pradesh,2022,3,2030824,181038520,anantapur district
314,Andhra Pradesh,2022,3,1924127,143715547,kurnool district
315,Andhra Pradesh,2022,3,2647100,91146114,guntur district
316,Andhra Pradesh,2022,3,2685215,86220959,krishna district
317,Andhra Pradesh,2022,3,1588875,105928407,spsr nellore district
318,Andhra Pradesh,2022,3,995141,46767889,vizianagaram district
319,Andhra Pradesh,2022,3,1487140,107976611,ysr district
320,Andhra Pradesh,2022,3,1805967,97509407,west godavari district
321,Andhra Pradesh,2022,3,2517657,162524274,chittoor district
322,Andhra Pradesh,2022,4,2835087,173720880,east godavari district
323,Andhra Pradesh,2022,4,1204785,72666058,srikakulam district
324,Andhra Pradesh,2022,4,3566854,208604256,visakhapatnam district
325,Andhra Pradesh,2022,4,1642503,94432083,prakasam district
326,Andhra Pradesh,2022,4,2128066,136685634,anantapur district
327,Andhra Pradesh,2022,4,2018290,105333688,kurnool district
328,Andhra Pradesh,2022,4,2774365,144773169,guntur district
329,Andhra Pradesh,2022,4,2813645,156902257,krishna district
330,Andhra Pradesh,2022,4,1663684,103101986,spsr nellore district
331,Andhra Pradesh,2022,4,1044490,64406405,vizianagaram district
332,Andhra Pradesh,2022,4,1556901,93975668,ysr district
333,Andhra Pradesh,2022,4,1893310,129116752,west godavari district
334,Andhra Pradesh,2022,4,2636036,189655966,chittoor district
335,Andhra Pradesh,2023,1,2965296,98931582,east godavari district
336,Andhra Pradesh,2023,1,1263204,48743038,srikakulam district
337,Andhra Pradesh,2023,1,3732544,107253885,visakhapatnam district
338,Andhra Pradesh,2023,1,1719910,112502189,prakasam district
339,Andhra Pradesh,2023,1,2228505,177793392,anantapur district
340,Andhra Pradesh,2023,1,2114023,149581663,kurnool district
341,Andhra Pradesh,2023,1,2900895,103514892,guntur district
342,Andhra Pradesh,2023,1,2941585,98727644,krishna district
343,Andhra Pradesh,2023,1,1740294,111993275,spsr nellore district
344,Andhra Pradesh,2023,1,1094782,55519223,vizianagaram district
345,Andhra Pradesh,2023,1,1628595,109842928,ysr district
346,Andhra Pradesh,2023,1,1980446,102965151,west godavari district
347,Andhra Pradesh,2023,1,2755784,164669558,chittoor district
348,Andhra Pradesh,2023,2,3082893,101375784,east godavari district
349,Andhra Pradesh,2023,2,1317771,48040159,srikakulam district
350,Andhra Pradesh,2023,2,3877504,115516314,visakhapatnam district
351,Andhra Pradesh,2023,2,1792637,104288559,prakasam district
352,Andhra Pradesh,2023,2,2323796,164437247,anantapur district
353,Andhra Pradesh,2023,2,2202517,142843895,kurnool district
354,Andhra Pradesh,2023,2,3014655,97915941,guntur district
355,Andhra Pradesh,2023,2,3054956,99723659,krishna district
356,Andhra Pradesh,2023,2,1811781,113350865,spsr nellore district
357,Andhra Pradesh,2023,2,1141578,55405616,vizianagaram district
358,Andhra Pradesh,2023,2,1694843,98586928,ysr district
359,Andhra Pradesh,2023,2,2059880,116005083,west godavari district
360,Andhra Pradesh,2023,2,2865250,170462384,chittoor district
361,Andhra Pradesh,2023,3,3211557,83823834,east godavari district
362,Andhra Pradesh,2023,3,1375950,44064462,srikakulam district
363,Andhra Pradesh,2023,3,4035323,116087299,visakhapatnam district
364,Andhra Pradesh,2023,3,1868997,94303883,prakasam district
365,Andhra Pradesh,2023,3,2421293,152875757,anantapur district
366,Andhra Pradesh,2023,3,2295754,124493256,kurnool district
367,Andhra Pradesh,2023,3,3137289,71855007,guntur district
368,Andhra Pradesh,2023,3,3177643,73280755,krishna district
369,Andhra Pradesh,2023,3,1887005,73583227,spsr nellore district
370,Andhra Pradesh,2023,3,1190571,41978556,vizianagaram district
371,Andhra Pradesh,2023,3,1764648,78787151,ysr district
372,Andhra Pradesh,2023,3,2146530,73274852,west godavari district
373,Andhra Pradesh,2023,3,2981337,129032458,chittoor district
374,Andhra Pradesh,2023,4,3329036,143550882,east godavari district
375,Andhra Pradesh,2023,4,1430226,48122562,srikakulam district
376,Andhra Pradesh,2023,4,4180797,163404880,visakhapatnam district
377,Andhra Pradesh,2023,4,1939979,69411660,prakasam district
378,Andhra Pradesh,2023,4,2512744,123617506,anantapur district
379,Andhra Pradesh,2023,4,2383042,86461750,kurnool district
380,Andhra Pradesh,2023,4,3251121,132403935,guntur district
381,Andhra Pradesh,2023,4,3291814,121925706,krishna district
382,Andhra Pradesh,2023,4,1956706,78993397,spsr nellore district
383,Andhra Pradesh,2023,4,1236735,42889385,vizianagaram district
384,Andhra Pradesh,2023,4,1829864,69721701,ysr district
385,Andhra Pradesh,2023,4,2227243,86297777,west godavari district
386,Andhra Pradesh,2023,4,3089391,143201818,chittoor district
387,Andhra Pradesh,2024,1,3465605,70700482,east godavari district
388,Andhra Pradesh,2024,1,1492803,25384857,srikakulam district
389,Andhra Pradesh,2024,1,4349723,183432261,visakhapatnam district
390,Andhra Pradesh,2024,1,2022873,57134465,prakasam district
391,Andhra Pradesh,2024,1,2619335,121235223,anantapur district
392,Andhra Pradesh,2024,1,2484451,115346032,kurnool district
393,Andhra Pradesh,2024,1,3382454,82606973,guntur district
394,Andhra Pradesh,2024,1,3423998,59203320,krishna district
395,Andhra Pradesh,2024,1,2037823,73245409,spsr nellore district
396,Andhra Pradesh,2024,1,1289838,45744793,vizianagaram district
397,Andhra Pradesh,2024,1,1905157,75306755,ysr district
398,Andhra Pradesh,2024,1,2319971,59978637,west godavari district
399,Andhra Pradesh,2024,1,3214678,110865896,chittoor district
400,Arunachal Pradesh,2018,1,498,0,lower subansiri district
401,Arunachal Pradesh,2018,1,557,0,tirap district
402,Arunachal Pradesh,2018,1,7649,0,papum pare district
403,Arunachal Pradesh,2018,1,278,0,anjaw district
404,Arunachal Pradesh,2018,1,270,0,lower siang district
405,Arunachal Pradesh,2018,1,66,0,dibang valley district
406,Arunachal Pradesh,2018,1,2202,0,west kameng district
407,Arunachal Pradesh,2018,1,49,0,shi yomi district
408,Arunachal Pradesh,2018,1,222,0,east kameng district
409,Arunachal Pradesh,2018,1,1207,0,lohit district
410,Arunachal Pradesh,2018,1,210,0,lepa rada district
411,Arunachal Pradesh,2018,1,601,0,lower dibang valley district
412,Arunachal Pradesh,2018,1,256,0,longding district
413,Arunachal Pradesh,2018,1,846,0,west siang district
414,Arunachal Pradesh,2018,1,22,0,kamle district
415,Arunachal Pradesh,2018,1,301,0,upper siang district
416,Arunachal Pradesh,2018,1,97,0,kurung kumey district
417,Arunachal Pradesh,2018,1,192,0,siang district
418,Arunachal Pradesh,2018,1,88,0,kra daadi district
419,Arunachal Pradesh,2018,1,1208,0,changlang district
420,Arunachal Pradesh,2018,1,39,0,pakke kessang district
421,Arunachal Pradesh,2018,1,1803,0,east siang district
422,Arunachal Pradesh,2018,1,572,0,upper subansiri district
423,Arunachal Pradesh,2018,1,1525,0,tawang district
424,Arunachal Pradesh,2018,1,737,0,namsai district
425,Arunachal Pradesh,2018,2,724,0,lower subansiri district
426,Arunachal Pradesh,2018,2,856,0,tirap district
427,Arunachal Pradesh,2018,2,11418,0,papum pare district
428,Arunachal Pradesh,2018,2,410,0,anjaw district
429,Arunachal Pradesh,2018,2,494,0,lower siang district
430,Arunachal Pradesh,2018,2,112,0,dibang valley district
431,Arunachal Pradesh,2018,2,3442,0,west kameng district
432,Arunachal Pradesh,2018,2,80,0,shi yomi district
433,Arunachal Pradesh,2018,2,343,0,east kameng district
434,Arunachal Pradesh,2018,2,1898,0,lohit district
435,Arunachal Pradesh,2018,2,318,0,lepa rada district
436,Arunachal Pradesh,2018,2,893,0,lower dibang valley district
437,Arunachal Pradesh,2018,2,412,0,longding district
438,Arunachal Pradesh,2018,2,1224,0,west siang district
439,Arunachal Pradesh,2018,2,37,0,kamle district
440,Arunachal Pradesh,2018,2,481,0,upper siang district
441,Arunachal Pradesh,2018,2,153,0,kurung kumey district
442,Arunachal Pradesh,2018,2,293,0,siang district
443,Arunachal Pradesh,2018,2,144,0,kra daadi district
444,Arunachal Pradesh,2018,2,2014,0,changlang district
445,Arunachal Pradesh,2018,2,66,0,pakke kessang district
446,Arunachal Pradesh,2018,2,2646,0,east siang district
447,Arunachal Pradesh,2018,2,883,0,upper subansiri district
448,Arunachal Pradesh,2018,2,2266,0,tawang district
449,Arunachal Pradesh,2018,2,1276,0,namsai district
450,Arunachal Pradesh,2018,3,1033,0,lower subansiri district
451,Arunachal Pradesh,2018,3,1226,0,tirap district
452,Arunachal Pradesh,2018,3,16009,0,papum pare district
453,Arunachal Pradesh,2018,3,542,0,anjaw district
454,Arunachal Pradesh,2018,3,717,0,lower siang district
455,Arunachal Pradesh,2018,3,145,0,dibang valley district
456,Arunachal Pradesh,2018,3,4765,0,west kameng district
457,Arunachal Pradesh,2018,3,118,0,shi yomi district
458,Arunachal Pradesh,2018,3,521,0,east kameng district
459,Arunachal Pradesh,2018,3,2612,0,lohit district
