,State,Year,Quater,District,Transaction_Count,Transaction_Amount
1888,Gujarat,2022,1,gandhinagar,8605006,14673670632.364445
1889,Gujarat,2022,1,banas kantha,7973644,18279879154.011223
1890,Gujarat,2022,1,bharuch,7704075,12142511077.777298
1891,Gujarat,2022,1,valsad,6673719,11065186874.369564
1892,Gujarat,2022,1,kachchh,6493295,13234467234.409914
1893,Gujarat,2022,1,mahesana,5772191,12148997855.25247
1894,Gujarat,2022,1,rajkot,5044420,11183107357.249798
1895,Gujarat,2022,2,ahmadabad,96453555,161506106645.9494
1896,Gujarat,2022,2,surat,37371820,68525386888.440254
1897,Gujarat,2022,2,vadodara,16566055,24927078678.274376
1898,Gujarat,2022,2,gandhinagar,10158506,16650584409.353096
1899,Gujarat,2022,2,banas kantha,9732655,20605533611.378273
1900,Gujarat,2022,2,bharuch,8898927,13524403306.877403
1901,Gujarat,2022,2,valsad,8033358,12554813235.049372
1902,Gujarat,2022,2,kachchh,7934471,15334005512.230762
1903,Gujarat,2022,2,mahesana,6831581,13686497405.843655
1904,Gujarat,2022,2,rajkot,6063252,12629937169.82262
1905,Gujarat,2022,3,ahmadabad,117574996,184255244712.72235
1906,Gujarat,2022,3,surat,46500453,78304481289.11215
1907,Gujarat,2022,3,vadodara,23318716,32733106034.5252
1908,Gujarat,2022,3,bharuch,11270803,15949022077.719543
1909,Gujarat,2022,3,banas kantha,11035119,22401495021.82648
1910,Gujarat,2022,3,gandhinagar,10879868,17098915693.488312
1911,Gujarat,2022,3,valsad,9633288,13905599408.86188
1912,Gujarat,2022,3,kachchh,9375781,16533683640.30562
1913,Gujarat,2022,3,rajkot,8053297,15206611341.200827
1914,Gujarat,2022,3,mahesana,6403784,12429803356.66823
1915,Gujarat,2022,4,ahmadabad,133174553,212037117715.34888
1916,Gujarat,2022,4,surat,52037142,85923991746.92255
1917,Gujarat,2022,4,vadodara,20968443,30304178848.49663
1918,Gujarat,2022,4,bharuch,15879527,22486941029.828552
1919,Gujarat,2022,4,banas kantha,12352158,25179922289.863693
1920,Gujarat,2022,4,gandhinagar,12010565,19015449813.738018
1921,Gujarat,2022,4,valsad,11103340,15842261457.57137
1922,Gujarat,2022,4,kachchh,9617702,17113433243.309341
1923,Gujarat,2022,4,rajkot,9260831,17834314868.93695
1924,Gujarat,2022,4,mahesana,7160396,14173625244.242262
1925,Gujarat,2023,1,ahmadabad,88124113,144675922269.0
1926,Gujarat,2023,1,surat,59319420,95572900783.0
1927,Gujarat,2023,1,vadodara,25446746,33703262986.0
1928,Gujarat,2023,1,banas kantha,20363171,39328998688.0
1929,Gujarat,2023,1,gandhinagar,19462874,28898357911.0
1930,Gujarat,2023,1,bharuch,17611455,23420620380.0
1931,Gujarat,2023,1,kachchh,15804575,26116703929.0
1932,Gujarat,2023,1,valsad,15422170,21497483690.0
1933,Gujarat,2023,1,mahesana,11768050,21693083051.0
1934,Gujarat,2023,1,rajkot,10331784,19918564828.0
1935,Gujarat,2023,2,ahmadabad,100889578,156288216607.0
1936,Gujarat,2023,2,surat,68998170,102075692702.0
1937,Gujarat,2023,2,vadodara,28126951,36036104419.0
1938,Gujarat,2023,2,banas kantha,23444277,42180609726.0
1939,Gujarat,2023,2,gandhinagar,22421756,31572312133.0
1940,Gujarat,2023,2,bharuch,20492081,25552850416.0
1941,Gujarat,2023,2,kachchh,18170694,27688475605.0
1942,Gujarat,2023,2,valsad,17817488,23874686294.0
1943,Gujarat,2023,2,mahesana,13635469,23684515815.0
1944,Gujarat,2023,2,rajkot,11886801,21473977466.0
1945,Gujarat,2023,3,ahmadabad,116119081,173450994467.0
1946,Gujarat,2023,3,surat,79742341,109145690441.0
1947,Gujarat,2023,3,vadodara,32705182,39197795542.0
1948,Gujarat,2023,3,banas kantha,27740530,49573677952.0
1949,Gujarat,2023,3,gandhinagar,26278985,35649946527.0
1950,Gujarat,2023,3,bharuch,23411273,27245590670.0
1951,Gujarat,2023,3,kachchh,21522506,30415694275.0
1952,Gujarat,2023,3,valsad,20283176,25031461480.0
1953,Gujarat,2023,3,mahesana,15541817,26723975165.0
1954,Gujarat,2023,3,rajkot,13691028,24000712020.0
1955,Gujarat,2023,4,ahmadabad,125267617,190761203190.0
1956,Gujarat,2023,4,surat,89306058,121540678231.0
1957,Gujarat,2023,4,vadodara,35268395,42648582739.0
1958,Gujarat,2023,4,banas kantha,32777092,56428699466.0
1959,Gujarat,2023,4,gandhinagar,28600724,39542236594.0
1960,Gujarat,2023,4,bharuch,26006725,30590024824.0
1961,Gujarat,2023,4,kachchh,24314313,34220033958.0
1962,Gujarat,2023,4,valsad,23727240,28875069638.0
1963,Gujarat,2023,4,mahesana,17716518,30965776190.0
1964,Gujarat,2023,4,rajkot,15005682,26723191144.0
1965,Gujarat,2024,1,ahmadabad,138618973,202027350496.0
1966,Gujarat,2024,1,surat,105034339,136364429380.0
1967,Gujarat,2024,1,banas kantha,40367961,67017735019.0
1968,Gujarat,2024,1,vadodara,38154382,44730428533.0
1969,Gujarat,2024,1,gandhinagar,31981660,42996191408.0
1970,Gujarat,2024,1,bharuch,29731992,33628152386.0
1971,Gujarat,2024,1,kachchh,28520642,38337066197.0
1972,Gujarat,2024,1,valsad,26915777,31771393972.0
1973,Gujarat,2024,1,mahesana,19982002,34099763013.0
1974,Gujarat,2024,1,rajkot,17046652,29191655098.0
1975,Haryana,2018,1,gurugram,1408070,2317083393.896097
1976,Haryana,2018,1,faridabad,521939,772738359.1903924
1977,Haryana,2018,1,hisar,240517,355732765.75367296
1978,Haryana,2018,1,rewari,199418,280095218.8487885
1979,Haryana,2018,1,panipat,183960,263054774.74491566
1980,Haryana,2018,1,sonipat,178766,279804665.74758285
1981,Haryana,2018,1,karnal,169313,247718779.0667546
1982,Haryana,2018,1,sirsa,164867,164313975.8712107
1983,Haryana,2018,1,bhiwani,125150,190361119.40027064
1984,Haryana,2018,1,rohtak,121728,215207976.23801103
1985,Haryana,2018,2,gurugram,1893511,3604758914.7352195
1986,Haryana,2018,2,faridabad,698865,1211325239.4669201
1987,Haryana,2018,2,hisar,320500,627894549.2713584
1988,Haryana,2018,2,panipat,265754,440169913.37038267
1989,Haryana,2018,2,rewari,263194,453157049.1288283
1990,Haryana,2018,2,sonipat,253130,475518495.4836759
1991,Haryana,2018,2,sirsa,234948,288080253.195745
1992,Haryana,2018,2,karnal,224254,430353501.61753666
1993,Haryana,2018,2,ambala,180500,352994750.8908926
1994,Haryana,2018,2,rohtak,179677,372787270.2835766
1995,Haryana,2018,3,gurugram,2877059,5115393851.988528
1996,Haryana,2018,3,faridabad,1058983,1722572594.332482
1997,Haryana,2018,3,hisar,390428,961080725.8344724
1998,Haryana,2018,3,rewari,350599,643047741.7898456
1999,Haryana,2018,3,panipat,331409,660571357.2553346
2000,Haryana,2018,3,sonipat,315829,689899150.946893
2001,Haryana,2018,3,karnal,282956,594890203.9680781
2002,Haryana,2018,3,rohtak,242013,568546327.48272
2003,Haryana,2018,3,ambala,233248,522223540.2280037
2004,Haryana,2018,3,sirsa,222321,409263123.8749541
2005,Haryana,2018,4,gurugram,4651606,7834266744.800946
2006,Haryana,2018,4,faridabad,2271109,2832603200.576729
2007,Haryana,2018,4,rewari,535609,1038332553.8976262
2008,Haryana,2018,4,hisar,511206,1476103125.5799584
2009,Haryana,2018,4,sonipat,428989,1037340218.1738504
2010,Haryana,2018,4,panipat,427930,960831966.9902785
2011,Haryana,2018,4,palwal,383775,672481291.542182
2012,Haryana,2018,4,karnal,356327,883621789.490683
2013,Haryana,2018,4,jhajjar,319972,741571573.9301258
2014,Haryana,2018,4,ambala,313017,778868451.264339
2015,Haryana,2019,1,gurugram,8723777,10558099866.889874
2016,Haryana,2019,1,faridabad,4020631,4128377201.4363856
2017,Haryana,2019,1,rewari,992599,1395914440.321243
2018,Haryana,2019,1,palwal,719323,1032542809.3600862
2019,Haryana,2019,1,hisar,703750,1656524675.5728457
2020,Haryana,2019,1,sonipat,699422,1419939621.3328834
2021,Haryana,2019,1,panipat,685081,1414874465.0357556
2022,Haryana,2019,1,karnal,589011,1295083691.156188
2023,Haryana,2019,1,rohtak,575222,1345411743.258372
2024,Haryana,2019,1,jhajjar,548076,1042049466.2823191
2025,Haryana,2019,2,gurugram,8386864,11575310786.46454
2026,Haryana,2019,2,faridabad,3523377,4505940224.123979
2027,Haryana,2019,2,rohtak,1096201,2813329870.614499
2028,Haryana,2019,2,panipat,1019615,2473242371.019817
2029,Haryana,2019,2,rewari,889511,1639474281.2498112
2030,Haryana,2019,2,sonipat,888795,2100408323.2797818
2031,Haryana,2019,2,karnal,814251,2062725761.781968
2032,Haryana,2019,2,hisar,761001,2054472611.492754
2033,Haryana,2019,2,palwal,741633,1293085677.97656
2034,Haryana,2019,2,jhajjar,569289,1308026488.612537
2035,Haryana,2019,3,gurugram,11843666,15022524504.76374
2036,Haryana,2019,3,faridabad,4701377,5869168552.228926
2037,Haryana,2019,3,rewari,1206241,2010833861.5122523
2038,Haryana,2019,3,rohtak,1158516,3225248552.778762
2039,Haryana,2019,3,panipat,1155825,2901827842.8905134
2040,Haryana,2019,3,sonipat,1066029,2495689739.736125
2041,Haryana,2019,3,palwal,1061268,1687988450.1171806
2042,Haryana,2019,3,hisar,1055411,2558826214.5634766
2043,Haryana,2019,3,karnal,991286,2467996778.7886715
2044,Haryana,2019,3,jhajjar,755297,1642655006.4215214
2045,Haryana,2019,4,gurugram,14935865,19000424238.11497
2046,Haryana,2019,4,faridabad,5358174,7782346423.807224
2047,Haryana,2019,4,rewari,1538398,2831585559.7951837
2048,Haryana,2019,4,panipat,1437677,3870819294.7898273
2049,Haryana,2019,4,rohtak,1428337,4158625641.7923813
2050,Haryana,2019,4,sonipat,1368457,3347168252.768132
2051,Haryana,2019,4,hisar,1309901,3351369912.8069725
2052,Haryana,2019,4,karnal,1280457,3322975421.6792216
2053,Haryana,2019,4,palwal,1273274,2370503274.3677926
2054,Haryana,2019,4,jhajjar,965474,2147473030.3808532
2055,Haryana,2020,1,gurugram,16484737,21152356889.052498
2056,Haryana,2020,1,faridabad,5840117,8881105700.091959
2057,Haryana,2020,1,sonipat,2016893,5091258326.483329
2058,Haryana,2020,1,rohtak,1803076,5175066327.070365
2059,Haryana,2020,1,panipat,1781967,4661669007.4263115
2060,Haryana,2020,1,rewari,1747564,3142595798.4513865
2061,Haryana,2020,1,palwal,1613263,3109146806.57809
2062,Haryana,2020,1,karnal,1579733,4003478768.7248425
2063,Haryana,2020,1,hisar,1533724,3820470010.45599
2064,Haryana,2020,1,mewat,1241283,3154872672.0695767
2065,Haryana,2020,2,gurugram,11284856,14426170120.903454
2066,Haryana,2020,2,faridabad,5775792,8177450074.37961
2067,Haryana,2020,2,palwal,2090627,3788124543.124005
2068,Haryana,2020,2,sonipat,2067865,5016220638.103822
2069,Haryana,2020,2,rohtak,2050920,5946541938.965281
2070,Haryana,2020,2,rewari,2022132,3582603328.500936
2071,Haryana,2020,2,panipat,2011582,5207544726.945988
2072,Haryana,2020,2,hisar,1644838,4146210408.44509
2073,Haryana,2020,2,karnal,1629574,4045109843.2026005
2074,Haryana,2020,2,mewat,1598705,3658746771.705061
2075,Haryana,2020,3,gurugram,18098421,23437360421.86216
2076,Haryana,2020,3,faridabad,8700173,13490214442.585878
2077,Haryana,2020,3,rewari,3041169,5346067429.247877
2078,Haryana,2020,3,sonipat,2922945,7024743099.006162
2079,Haryana,2020,3,palwal,2672871,4869775358.80177
2080,Haryana,2020,3,panipat,2334545,5809998640.786768
2081,Haryana,2020,3,hisar,2209518,5761605477.767698
2082,Haryana,2020,3,mewat,2107221,5099537212.926384
2083,Haryana,2020,3,karnal,1955755,4578348863.2612
2084,Haryana,2020,3,rohtak,1740356,4643691557.73987
2085,Haryana,2020,4,gurugram,28192581,35629614077.0103
2086,Haryana,2020,4,faridabad,12149079,19603646063.147858
2087,Haryana,2020,4,rewari,4329508,8169865745.127572
2088,Haryana,2020,4,sonipat,3721622,9010603701.96087
2089,Haryana,2020,4,palwal,3692902,7333424919.06859
2090,Haryana,2020,4,hisar,3190398,8738948858.681065
2091,Haryana,2020,4,panipat,3059943,7874714735.936348
2092,Haryana,2020,4,mewat,2948645,7484819524.783331
2093,Haryana,2020,4,karnal,2527301,6152410695.701475
2094,Haryana,2020,4,jhajjar,2429140,5544973431.463554
2095,Haryana,2021,1,gurugram,31719830,39350276708.73313
2096,Haryana,2021,1,faridabad,12970900,21241648453.917847
2097,Haryana,2021,1,rewari,4385531,8303713646.79833
2098,Haryana,2021,1,sonipat,4353956,9992974986.499811
2099,Haryana,2021,1,palwal,3641453,7214450169.004797
2100,Haryana,2021,1,hisar,3294765,8859730937.006823
2101,Haryana,2021,1,panipat,3288095,7866864997.406405
2102,Haryana,2021,1,mewat,3236320,8671355565.335659
2103,Haryana,2021,1,karnal,2822406,6379825746.570849
2104,Haryana,2021,1,rohtak,2708295,6792159646.748035
2105,Haryana,2021,2,gurugram,32311326,39938868048.39105
2106,Haryana,2021,2,faridabad,14467773,23831325859.81366
2107,Haryana,2021,2,sonipat,5818055,12924700817.493427
2108,Haryana,2021,2,rewari,5377720,9762169802.614033
2109,Haryana,2021,2,panipat,4781725,10716524259.182951
2110,Haryana,2021,2,palwal,4765916,9533885152.800251
2111,Haryana,2021,2,hisar,4588374,11866795026.651604
2112,Haryana,2021,2,mewat,4011429,9985192715.597248
2113,Haryana,2021,2,rohtak,3586587,8769888644.596022
2114,Haryana,2021,2,karnal,3501189,7822099240.647442
2115,Haryana,2021,3,gurugram,47680658,55914389975.07391
2116,Haryana,2021,3,faridabad,19367342,30608591108.260963
2117,Haryana,2021,3,rewari,7225396,12146892237.73043
2118,Haryana,2021,3,sonipat,7173052,14357121849.97747
2119,Haryana,2021,3,panipat,6120958,12577188571.756681
2120,Haryana,2021,3,palwal,5875612,10372287086.183144
2121,Haryana,2021,3,hisar,5215891,12437366867.171387
2122,Haryana,2021,3,mewat,5054460,11174788500.58817
2123,Haryana,2021,3,rohtak,4615616,10168683402.047003
2124,Haryana,2021,3,karnal,4403307,8835919266.381252
2125,Haryana,2021,4,gurugram,56754843,69593103272.65858
2126,Haryana,2021,4,faridabad,23169872,38292223252.23201
2127,Haryana,2021,4,sonipat,8588386,18170993284.93904
2128,Haryana,2021,4,rewari,8487387,15492946892.608118
2129,Haryana,2021,4,panipat,7419868,16276012822.879314
2130,Haryana,2021,4,palwal,7384842,13860018394.657875
2131,Haryana,2021,4,mewat,6907605,14906046920.126253
2132,Haryana,2021,4,hisar,6193863,16081687128.153656
2133,Haryana,2021,4,rohtak,5544335,13098837015.96527
2134,Haryana,2021,4,karnal,5416815,11527031601.801613
2135,Haryana,2022,1,gurugram,63282822,77508209556.89508
2136,Haryana,2022,1,faridabad,25918817,42896865210.61576
2137,Haryana,2022,1,sonipat,9614092,19484490398.321857
2138,Haryana,2022,1,rewari,9346086,16678823765.176477
2139,Haryana,2022,1,panipat,9264902,19020193908.564423
2140,Haryana,2022,1,mewat,8788025,17806136968.70603
2141,Haryana,2022,1,palwal,8401353,15280812571.295765
2142,Haryana,2022,1,hisar,7216543,18068574001.484863
2143,Haryana,2022,1,rohtak,6268896,14421297234.32816
2144,Haryana,2022,1,karnal,6097787,12324299904.907103
2145,Haryana,2022,2,gurugram,79880852,92145454120.45724
2146,Haryana,2022,2,faridabad,30409719,48406473821.004944
2147,Haryana,2022,2,sonipat,11943138,22987659569.928093
2148,Haryana,2022,2,rewari,11224593,19046645607.857338
2149,Haryana,2022,2,panipat,10820296,21066063900.647213
2150,Haryana,2022,2,mewat,10609222,20575618595.50345
2151,Haryana,2022,2,palwal,9782307,17323076797.706825
2152,Haryana,2022,2,hisar,8798889,20864338832.46772
2153,Haryana,2022,2,rohtak,7714114,16685032554.576132
2154,Haryana,2022,2,karnal,7462000,14355989091.566263
2155,Haryana,2022,3,gurugram,87103856,99360193857.46599
2156,Haryana,2022,3,faridabad,31002825,46163415393.391945
2157,Haryana,2022,3,sonipat,16738938,29152136081.765583
2158,Haryana,2022,3,hisar,15314209,30005386061.118546
2159,Haryana,2022,3,panipat,13837300,24633921100.885296
2160,Haryana,2022,3,rewari,12015067,19436985212.741524
2161,Haryana,2022,3,palwal,11032395,17956834811.920963
2162,Haryana,2022,3,mewat,10832560,19134475751.357685
2163,Haryana,2022,3,rohtak,9939686,18965127888.071278
2164,Haryana,2022,3,karnal,9139842,16912349321.593098
2165,Haryana,2022,4,gurugram,92493335,107046551341.7809
2166,Haryana,2022,4,faridabad,33161524,49923713557.162994
2167,Haryana,2022,4,sonipat,17683407,32605509131.386883
2168,Haryana,2022,4,hisar,16862076,34368965296.500374
2169,Haryana,2022,4,rohtak,14350357,27248544247.193783
2170,Haryana,2022,4,rewari,13324092,22585777499.591312
2171,Haryana,2022,4,palwal,13114018,21856737361.77354
2172,Haryana,2022,4,panipat,12217738,23682687583.537933
2173,Haryana,2022,4,karnal,12214724,23383107604.307755
2174,Haryana,2022,4,mewat,11181774,20507941017.884888
2175,Haryana,2023,1,gurugram,139674963,149429170153.0
2176,Haryana,2023,1,faridabad,53175744,76414257465.0
2177,Haryana,2023,1,mewat,19821886,34386439914.0
2178,Haryana,2023,1,rewari,19315925,31293744915.0
2179,Haryana,2023,1,palwal,18488944,29954221651.0
2180,Haryana,2023,1,sonipat,14926351,27671143422.0
2181,Haryana,2023,1,hisar,13701000,30219366691.0
2182,Haryana,2023,1,jhajjar,12217709,23051039608.0
2183,Haryana,2023,1,panipat,10810722,20832156394.0
2184,Haryana,2023,1,mahendragarh,9912656,20183169351.0
2185,Haryana,2023,2,gurugram,168827725,167788722810.0
2186,Haryana,2023,2,faridabad,62235387,82469498511.0
2187,Haryana,2023,2,mewat,24567537,39427690839.0
2188,Haryana,2023,2,rewari,23333100,34976781377.0
2189,Haryana,2023,2,palwal,22095549,33459783079.0
2190,Haryana,2023,2,sonipat,18352363,31280283056.0
2191,Haryana,2023,2,hisar,16085808,33933659480.0
2192,Haryana,2023,2,jhajjar,14793013,26202080272.0
2193,Haryana,2023,2,panipat,13037367,23049537864.0
2194,Haryana,2023,2,mahendragarh,12061191,22742640627.0
2195,Haryana,2023,3,gurugram,188985975,179654213171.0
2196,Haryana,2023,3,faridabad,66682736,85332036120.0
2197,Haryana,2023,3,rewari,26636621,36790267491.0
2198,Haryana,2023,3,palwal,22985522,32341536595.0
2199,Haryana,2023,3,mewat,21207864,33007216065.0
2200,Haryana,2023,3,sonipat,21154223,32882849453.0
2201,Haryana,2023,3,hisar,18073013,35148922011.0
2202,Haryana,2023,3,jhajjar,16858845,27109243755.0
2203,Haryana,2023,3,panipat,15202667,24746289923.0
2204,Haryana,2023,3,rohtak,13369559,24254493149.0
2205,Haryana,2023,4,gurugram,200753426,196708697020.0
2206,Haryana,2023,4,faridabad,77144627,98044262238.0
2207,Haryana,2023,4,rewari,29185255,42640323109.0
2208,Haryana,2023,4,mewat,28925897,44628376293.0
2209,Haryana,2023,4,palwal,27386099,39320293870.0
2210,Haryana,2023,4,sonipat,23629291,38060293204.0
2211,Haryana,2023,4,hisar,19279136,40480356223.0
2212,Haryana,2023,4,jhajjar,18679187,31812083240.0
2213,Haryana,2023,4,panipat,16907853,28907667371.0
2214,Haryana,2023,4,mahendragarh,14773841,27377180805.0
2215,Haryana,2024,1,gurugram,220314122,209018505349.0
2216,Haryana,2024,1,faridabad,87385027,105324563921.0
2217,Haryana,2024,1,mewat,36343799,51647688058.0
2218,Haryana,2024,1,rewari,32205532,44941393906.0
2219,Haryana,2024,1,palwal,31186766,42586729209.0
2220,Haryana,2024,1,sonipat,26391475,39542818742.0
2221,Haryana,2024,1,jhajjar,20724391,32868422443.0
2222,Haryana,2024,1,panipat,18394991,28669896876.0
2223,Haryana,2024,1,hisar,17761963,37550665833.0
2224,Haryana,2024,1,mahendragarh,16170056,28644900235.0
2225,Himachal Pradesh,2018,1,solan,118881,146873607.41695297
2226,Himachal Pradesh,2018,1,kangra,62061,83269925.3876329
2227,Himachal Pradesh,2018,1,shimla,54161,84375526.97610706
2228,Himachal Pradesh,2018,1,mandi,44169,50308276.313293405
2229,Himachal Pradesh,2018,1,chamba,41138,69091183.95337541
2230,Himachal Pradesh,2018,1,una,39070,48375221.958015576
2231,Himachal Pradesh,2018,1,sirmaur,37721,43579534.40144637
2232,Himachal Pradesh,2018,1,hamirpur,32709,37506250.25236499
2233,Himachal Pradesh,2018,1,kullu,23978,36599342.90480824
2234,Himachal Pradesh,2018,1,bilaspur,21880,20215586.707121648
2235,Himachal Pradesh,2018,2,solan,166516,254576422.9168635
2236,Himachal Pradesh,2018,2,kangra,97426,172859755.31581038
2237,Himachal Pradesh,2018,2,shimla,82195,162202102.59693143
2238,Himachal Pradesh,2018,2,mandi,58415,85994890.15581088
2239,Himachal Pradesh,2018,2,chamba,55922,125825520.94711924
2240,Himachal Pradesh,2018,2,sirmaur,53040,77059907.62248287
2241,Himachal Pradesh,2018,2,una,51637,81025669.3259282
2242,Himachal Pradesh,2018,2,hamirpur,41507,63207300.3000073
2243,Himachal Pradesh,2018,2,kullu,39948,96624850.44143352
2244,Himachal Pradesh,2018,2,bilaspur,30705,41392933.9580691
2245,Himachal Pradesh,2018,3,solan,229164,373018057.4322363
2246,Himachal Pradesh,2018,3,kangra,123560,243834956.6313929
2247,Himachal Pradesh,2018,3,shimla,109765,261701779.39463177
2248,Himachal Pradesh,2018,3,sirmaur,78762,124334576.99894318
2249,Himachal Pradesh,2018,3,mandi,74604,128941896.30651332
2250,Himachal Pradesh,2018,3,una,73766,150521417.27225596
2251,Himachal Pradesh,2018,3,hamirpur,58022,90529572.1234664
2252,Himachal Pradesh,2018,3,chamba,44858,190977335.4683498
2253,Himachal Pradesh,2018,3,kullu,40813,95127772.88091436
2254,Himachal Pradesh,2018,3,bilaspur,37993,56133326.966728725
2255,Himachal Pradesh,2018,4,solan,347191,577618789.1056865
2256,Himachal Pradesh,2018,4,kangra,187764,414603049.9879074
2257,Himachal Pradesh,2018,4,shimla,156832,396860638.04644364
2258,Himachal Pradesh,2018,4,sirmaur,122707,199344353.77429008
2259,Himachal Pradesh,2018,4,una,110312,222928340.6712972
2260,Himachal Pradesh,2018,4,mandi,109661,203827486.01186574
2261,Himachal Pradesh,2018,4,hamirpur,76300,146948802.40681252
2262,Himachal Pradesh,2018,4,kullu,64285,157752014.91735005
2263,Himachal Pradesh,2018,4,chamba,63298,160650916.98309675
2264,Himachal Pradesh,2018,4,bilaspur,51395,92955686.23996082
2265,Himachal Pradesh,2019,1,solan,626201,733453989.2236599
2266,Himachal Pradesh,2019,1,shimla,363648,708861957.1918447
2267,Himachal Pradesh,2019,1,kangra,266655,478900506.53311074
2268,Himachal Pradesh,2019,1,sirmaur,174812,238804557.7773369
2269,Himachal Pradesh,2019,1,mandi,167637,287549707.5047521
2270,Himachal Pradesh,2019,1,una,151550,232335414.5268033
2271,Himachal Pradesh,2019,1,hamirpur,126323,189186708.125866
2272,Himachal Pradesh,2019,1,chamba,104811,170503559.1379143
2273,Himachal Pradesh,2019,1,kullu,92009,187262819.029819
2274,Himachal Pradesh,2019,1,bilaspur,73141,109483745.6606721
2275,Himachal Pradesh,2019,2,shimla,807095,1698682743.209046
2276,Himachal Pradesh,2019,2,solan,481957,783011937.8847647
2277,Himachal Pradesh,2019,2,kangra,295433,591536934.9504749
2278,Himachal Pradesh,2019,2,mandi,245467,464902888.77251065
2279,Himachal Pradesh,2019,2,hamirpur,150149,270178390.1615547
2280,Himachal Pradesh,2019,2,kullu,129068,331174039.37828636
2281,Himachal Pradesh,2019,2,sirmaur,127208,220885809.9785687
2282,Himachal Pradesh,2019,2,una,105685,189321647.9190805
2283,Himachal Pradesh,2019,2,bilaspur,68748,128917341.52795482
2284,Himachal Pradesh,2019,2,chamba,62922,128008869.00606377
2285,Himachal Pradesh,2019,3,shimla,695970,1981429213.7026682
2286,Himachal Pradesh,2019,3,solan,563580,919355818.0941985
2287,Himachal Pradesh,2019,3,kangra,373339,645470163.0699661
2288,Himachal Pradesh,2019,3,mandi,262386,545822136.934624
2289,Himachal Pradesh,2019,3,hamirpur,187716,301844559.3146769
2290,Himachal Pradesh,2019,3,sirmaur,154972,258531496.7275585
2291,Himachal Pradesh,2019,3,kullu,146216,316994313.58457994
2292,Himachal Pradesh,2019,3,una,134630,227364592.3232284
2293,Himachal Pradesh,2019,3,bilaspur,88416,142694743.74010605
2294,Himachal Pradesh,2019,3,chamba,87489,151224161.28503346
2295,Himachal Pradesh,2019,4,shimla,900252,2553513821.2140336
2296,Himachal Pradesh,2019,4,solan,693523,1168760137.4633098
2297,Himachal Pradesh,2019,4,kangra,492277,877780658.252526
2298,Himachal Pradesh,2019,4,mandi,332554,678830304.0119476
2299,Himachal Pradesh,2019,4,hamirpur,258323,429776009.8441242
2300,Himachal Pradesh,2019,4,kullu,204518,442222672.1025748
2301,Himachal Pradesh,2019,4,sirmaur,190673,324766028.26129776
2302,Himachal Pradesh,2019,4,una,173510,293924768.3295568
2303,Himachal Pradesh,2019,4,bilaspur,114888,204391757.70598233
2304,Himachal Pradesh,2019,4,chamba,111755,196209094.0899575
2305,Himachal Pradesh,2020,1,shimla,1115491,2725598845.0394974
2306,Himachal Pradesh,2020,1,solan,821088,1293083622.0835805
2307,Himachal Pradesh,2020,1,kangra,569437,836283217.4197668
2308,Himachal Pradesh,2020,1,mandi,357222,582031760.1284182
2309,Himachal Pradesh,2020,1,hamirpur,247878,312050564.78676903
2310,Himachal Pradesh,2020,1,kullu,245803,451467537.5665263
2311,Himachal Pradesh,2020,1,sirmaur,240485,386990850.03422594
2312,Himachal Pradesh,2020,1,una,208785,305641992.38407075
2313,Himachal Pradesh,2020,1,bilaspur,144278,226926312.01782265
2314,Himachal Pradesh,2020,1,chamba,139862,213171894.7803222
2315,Himachal Pradesh,2020,2,shimla,1090361,2702081598.463577
2316,Himachal Pradesh,2020,2,solan,808170,1165900725.2493396
2317,Himachal Pradesh,2020,2,kangra,800587,1148113744.7012944
2318,Himachal Pradesh,2020,2,mandi,476844,764632316.5536959
2319,Himachal Pradesh,2020,2,hamirpur,283099,412476792.8843811
2320,Himachal Pradesh,2020,2,sirmaur,281385,405760136.7626385
2321,Himachal Pradesh,2020,2,una,271636,407244006.0493055
2322,Himachal Pradesh,2020,2,kullu,211730,311597474.942107
2323,Himachal Pradesh,2020,2,chamba,195242,282218981.7534903
2324,Himachal Pradesh,2020,2,bilaspur,191375,284432330.03137827
2325,Himachal Pradesh,2020,3,shimla,1285819,3273522193.6950035
2326,Himachal Pradesh,2020,3,solan,1025251,1684944862.9521143
2327,Himachal Pradesh,2020,3,kangra,874419,1454881898.970782
2328,Himachal Pradesh,2020,3,mandi,510105,917547335.014626
2329,Himachal Pradesh,2020,3,una,351065,649892231.6889067
2330,Himachal Pradesh,2020,3,hamirpur,330684,570857451.2158681
2331,Himachal Pradesh,2020,3,sirmaur,327646,558556837.731833
2332,Himachal Pradesh,2020,3,kullu,256926,493361636.48255086
2333,Himachal Pradesh,2020,3,chamba,219469,362005461.96742666
2334,Himachal Pradesh,2020,3,bilaspur,202526,342802524.6465795
2335,Himachal Pradesh,2020,4,shimla,1481567,3532549313.2620616
2336,Himachal Pradesh,2020,4,solan,1429031,2365446849.233446
2337,Himachal Pradesh,2020,4,kangra,1184008,2119401487.8765106
2338,Himachal Pradesh,2020,4,mandi,671714,1247938155.7973926
2339,Himachal Pradesh,2020,4,kullu,468786,964080436.8492869
2340,Himachal Pradesh,2020,4,una,449443,882226488.1512837
2341,Himachal Pradesh,2020,4,sirmaur,443100,785448896.1147676
2342,Himachal Pradesh,2020,4,hamirpur,431123,781165089.0953674
2343,Himachal Pradesh,2020,4,chamba,304032,507880011.358919
