,State,Year,Quater,District,Registered_Users
0,Andaman & Nicobar,2018,1,south andaman,5846
1,Andaman & Nicobar,2018,1,north and middle andaman,632
2,Andaman & Nicobar,2018,1,nicobars,262
3,Andaman & Nicobar,2018,2,south andaman,8143
4,Andaman & Nicobar,2018,2,north and middle andaman,911
5,Andaman & Nicobar,2018,2,nicobars,351
6,Andaman & Nicobar,2018,3,south andaman,10474
7,Andaman & Nicobar,2018,3,north and middle andaman,1208
8,Andaman & Nicobar,2018,3,nicobars,467
9,Andaman & Nicobar,2018,4,south andaman,13133
10,Andaman & Nicobar,2018,4,north and middle andaman,1553
11,Andaman & Nicobar,2018,4,nicobars,536
12,Andaman & Nicobar,2019,1,south andaman,15961
13,Andaman & Nicobar,2019,1,north and middle andaman,2013
14,Andaman & Nicobar,2019,1,nicobars,622
15,Andaman & Nicobar,2019,2,south andaman,18621
16,Andaman & Nicobar,2019,2,north and middle andaman,2417
17,Andaman & Nicobar,2019,2,nicobars,693
18,Andaman & Nicobar,2019,3,south andaman,20518
19,Andaman & Nicobar,2019,3,north and middle andaman,2662
20,Andaman & Nicobar,2019,3,nicobars,751
21,Andaman & Nicobar,2019,4,south andaman,22202
22,Andaman & Nicobar,2019,4,north and middle andaman,2955
23,Andaman & Nicobar,2019,4,nicobars,803
24,Andaman & Nicobar,2020,1,south andaman,24174
25,Andaman & Nicobar,2020,1,north and middle andaman,3315
26,Andaman & Nicobar,2020,1,nicobars,879
27,Andaman & Nicobar,2020,2,south andaman,27626
28,Andaman & Nicobar,2020,2,north and middle andaman,4100
29,Andaman & Nicobar,2020,2,nicobars,984
30,Andaman & Nicobar,2020,3,south andaman,34833
31,Andaman & Nicobar,2020,3,north and middle andaman,5355
32,Andaman & Nicobar,2020,3,nicobars,1147
33,Andaman & Nicobar,2020,4,south andaman,43908
34,Andaman & Nicobar,2020,4,north and middle andaman,7076
35,Andaman & Nicobar,2020,4,nicobars,1412
36,Andaman & Nicobar,2021,1,south andaman,48352
37,Andaman & Nicobar,2021,1,north and middle andaman,7833
38,Andaman & Nicobar,2021,1,nicobars,1573
39,Andaman & Nicobar,2021,2,south andaman,51903
40,Andaman & Nicobar,2021,2,north and middle andaman,8493
41,Andaman & Nicobar,2021,2,nicobars,1699
42,Andaman & Nicobar,2021,3,south andaman,55873
43,Andaman & Nicobar,2021,3,north and middle andaman,9263
44,Andaman & Nicobar,2021,3,nicobars,1846
45,Andaman & Nicobar,2021,4,south andaman,59807
